ts,ihd03A,ihd05A,ihd07A,ithdA
1588748833692,88.85,79.11,62.83,180.29
1588748833713,88.88,79.6,63.59,175.19
1588748833733,88.83,79.9,63.84,171.32
1588748833754,88.93,80.08,63.84,167.67
1588748833775,89.0,80.08,63.69,165.08
1588748833851,89.05,79.82,63.37,161.84
1588748833872,90.13,79.33,62.26,155.07
1588748833893,90.33,79.07,61.8,153.4
1588748833913,90.46,78.85,61.31,152.23
1588748833934,90.33,78.66,60.92,151.03
1588748833954,90.35,78.47,60.73,150.11
1588748833975,90.24,78.39,60.63,149.52
1588748833995,90.15,78.14,60.33,148.42
1588748834016,89.88,77.71,60.09,147.31
1588748834037,89.53,77.19,59.73,146.15
1588748834061,89.32,76.8,59.23,145.37
1588748834081,89.42,76.49,58.83,144.77
1588748834101,89.5,76.48,58.43,144.49
1588748834122,89.65,76.51,58.29,144.39
1588748834143,89.95,76.62,58.03,144.49
1588748834164,90.14,76.58,57.91,144.47
1588748834185,90.39,76.48,57.74,144.39
1588748834206,90.34,76.33,57.55,144.18
1588748834226,90.12,75.84,57.29,143.46
1588748834247,89.83,75.35,57.11,142.62
1588748834267,89.45,74.98,57.0,141.79
1588748834288,89.24,74.76,56.95,141.15
1588748834308,89.09,74.58,56.88,140.89
1588748834329,88.92,74.48,56.79,140.6
1588748834351,88.88,74.4,56.68,140.42
1588748834372,88.84,74.36,56.49,140.35
1588748834393,88.84,74.26,56.05,140.22
1588748834414,88.84,74.25,55.72,139.99
1588748834435,88.87,74.32,55.18,139.38
1588748834456,88.9,74.24,54.77,138.82
1588748834477,88.85,74.15,54.17,137.76
1588748834497,88.87,74.19,53.81,137.09
1588748834522,89.11,74.17,53.47,136.83
1588748834542,89.29,74.17,53.3,136.66
1588748834562,89.56,74.11,53.09,136.58
1588748834583,89.65,74.02,52.98,136.48
1588748834604,89.62,73.9,52.76,136.16
1588748834625,89.58,73.71,52.57,135.92
1588748834646,89.35,73.45,52.21,135.28
1588748834666,89.23,73.2,51.98,134.84
1588748834686,89.17,73.04,51.74,134.68
