ts,pwrA,rpwrA,curA,apwrA,screA
1588749722982,24.2389,2.3487,0.1807,42.5666,3.317
1588749723002,24.404,-3.0301,0.1809,42.6162,3.532
1588749723023,24.6021,-4.4468,0.1814,42.7318,3.532
1588749723044,24.7673,-9.4437,0.182,42.8969,3.678
1588749723064,24.9159,-8.5589,0.1829,43.095,3.678
1588749723084,25.081,-13.631,0.1839,43.3262,3.678
1588749723104,25.2131,-11.7156,0.1849,43.5738,3.496
1588749723124,25.3286,-10.8464,0.1859,43.805,3.496
1588749723144,25.3617,-6.1382,0.1869,44.0362,3.496
1588749723164,25.3617,-10.425,0.1877,44.2343,3.391
1588749723184,24.8663,-21.5453,0.1881,44.3004,3.391
1588749723204,23.661,-20.0006,0.1871,44.0527,3.391
1588749723224,22.0263,-13.5655,0.1843,43.3922,1.589
1588749723244,20.2596,-17.3505,0.1798,42.3025,1.642
1588749723264,18.5424,-21.7849,0.1739,40.899,1.642
1588749723284,16.9078,-16.5036,0.167,39.2478,1.769
1588749723304,15.4713,-12.0296,0.1593,37.4316,1.769
1588749723324,14.2494,-11.263,0.1514,35.5493,1.769
1588749723344,13.2752,-11.2979,0.1434,33.6835,1.769
1588749723365,12.4827,-19.5956,0.1357,31.8672,2.034
1588749723385,11.8718,-3.1862,0.1284,30.1665,2.034
1588749723405,11.3929,-26.0028,0.1218,28.6144,0.625
1588749723425,11.1122,-14.2723,0.1158,27.211,0.625
1588749723445,10.9306,-6.755,0.1105,25.9726,2.815
1588749723465,10.815,-8.3799,0.106,24.9159,2.815
1588749723485,10.815,-2.8013,0.1023,24.0573,2.815
1588749723544,10.815,-2.8013,0.1023,24.0573,2.815
1588749723564,11.3764,-7.2801,0.0947,22.2905,3.75
1588749723584,11.5415,-7.3727,0.0942,22.1915,3.75
1588749723604,11.7067,-7.6982,0.0941,22.1749,3.75
1588749723624,11.8883,-3.665,0.0944,22.2245,3.9
1588749723644,12.1029,-0.8773,0.0949,22.3566,3.869
1588749723664,12.268,-4.0677,0.0956,22.5382,3.869
1588749723684,12.4827,-8.3123,0.0966,22.7528,3.869
1588749723704,12.6973,-6.5937,0.0977,23.017,3.574
1588749723724,12.879,-9.5024,0.0988,23.2812,3.574
1588749723744,13.0111,-9.6063,0.0998,23.5289,3.574
1588749723764,13.1432,-14.104,0.1009,23.7766,3.91
1588749723784,13.2587,-3.4351,0.102,24.0242,3.91
1588749723804,13.3578,-2.8215,0.103,24.2719,3.91
1588749723824,13.4899,-10.4234,0.1041,24.5196,3.926
1588749723844,13.622,-10.5298,0.1051,24.7673,3.926
1588749723864,13.7541,-14.2955,0.1062,25.0149,3.926
1588749723884,13.9687,-2.414,0.1073,25.2791,3.807
1588749723904,14.1999,-7.7082,0.1084,25.5433,3.807
1588749723924,14.4311,-5.2228,0.1096,25.8405,3.807
1588749723944,14.6127,-3.0384,0.1109,26.1377,3.686
1588749723964,14.7613,-6.3926,0.1123,26.4679,3.686
1588749723984,14.9594,-7.6096,0.1137,26.7817,3.686
1588749724004,15.1576,-7.2874,0.115,27.1119,3.796
1588749724024,15.3062,-8.8844,0.1164,27.4256,3.796
1588749724044,15.4878,0.2043,0.1178,27.7558,3.796
1588749724064,15.6859,-5.0347,0.1192,28.0861,3.796
1588749724084,15.851,-6.6272,0.1206,28.4163,3.516
1588749724104,16.0162,-4.9764,0.1219,28.73,3.516
1588749724124,16.1978,-9.9028,0.1232,29.0272,3.668
1588749724144,16.3134,-9.3926,0.1244,29.3079,3.668
1588749724164,16.495,-7.2545,0.1256,29.5886,3.668
1588749724184,16.8252,-6.4052,0.127,29.9188,3.668
1588749724204,17.238,0.0744,0.1287,30.3316,3.939
1588749724224,17.7003,-3.3564,0.1308,30.827,3.939
1588749724244,18.1131,-7.6121,0.1331,31.3718,3.939
1588749724264,18.5094,-4.5647,0.1355,31.9332,3.801
1588749724284,18.8561,-7.1154,0.138,32.5277,3.801
1588749724304,19.1699,-8.1481,0.1404,33.089,3.843
1588749724324,19.4836,-8.881,0.1427,33.6339,3.843
1588749724344,19.7973,-4.844,0.145,34.1788,3.843
1588749724364,20.0945,-4.749,0.1473,34.7072,3.617
1588749724384,20.4247,-8.0021,0.1494,35.219,3.617
1588749724404,20.7219,6.9151,0.1515,35.7144,3.617
1588749724424,21.0026,-16.4515,0.1536,36.1932,3.617
1588749724444,21.2503,-3.1426,0.1556,36.6555,3.677
1588749724464,21.4319,-6.7374,0.1574,37.0848,3.677
1588749724484,21.597,-8.7849,0.1591,37.4646,3.677
1588749724504,21.7787,-11.3174,0.1605,37.7948,3.466
1588749724524,21.9438,-15.388,0.1618,38.1085,3.466
1588749724544,22.0759,-11.3562,0.163,38.3727,3.399
1588749724564,22.1915,-1.2313,0.164,38.6204,3.399
1588749724584,22.2905,-9.1999,0.1649,38.835,3.358
1588749724604,22.3566,-7.2361,0.1658,39.0497,3.358
1588749724624,22.4226,-7.1698,0.1664,39.1983,3.328
1588749724644,22.4556,-13.1017,0.167,39.3139,3.328
1588749724664,22.5052,-12.0873,0.1675,39.4295,3.328
1588749724684,22.4887,-7.2294,0.1678,39.512,3.274
1588749724704,22.4226,2.2803,0.1681,39.5781,3.274
1588749724724,22.4061,-14.6146,0.1682,39.6111,3.274
1588749724744,22.4226,-2.7689,0.1683,39.6441,3.326
1588749724764,22.4391,-3.4001,0.1684,39.6606,3.326
1588749724784,22.4391,-6.0592,0.1685,39.6771,3.326
1588749724804,22.4226,-5.5801,0.1686,39.6936,3.326
1588749724824,22.4391,-7.1228,0.1687,39.7102,3.387
1588749724844,22.4061,-3.1151,0.1687,39.7267,3.387
1588749724864,22.3566,-8.6045,0.1687,39.7267,3.385
1588749724884,22.3731,-9.9297,0.1687,39.7267,3.385
1588749724904,22.3401,2.5313,0.1687,39.7102,3.385
1588749724924,22.2905,-19.6728,0.1685,39.6771,3.245
1588749724944,22.2905,-8.0634,0.1684,39.6441,3.245
1588749724964,22.3235,-3.2036,0.1683,39.6111,3.248
1588749724984,22.3731,-11.9569,0.1683,39.6111,3.248
1588749725004,22.4226,-10.7971,0.1683,39.6276,3.248
1588749725024,22.4722,-6.7762,0.1684,39.6606,3.392
1588749725044,22.4722,-2.1899,0.1686,39.6936,3.392
1588749725064,22.4226,-0.5358,0.1686,39.7102,3.392
1588749725084,22.3731,-5.343,0.1687,39.7267,3.392
1588749725104,22.3401,-13.2859,0.1687,39.7432,3.414
1588749725124,22.3566,-16.6319,0.1688,39.7432,3.414
1588749725144,22.4061,-6.3633,0.1688,39.7762,3.414
1588749725164,22.4391,2.1475,0.169,39.8092,3.414
1588749725184,22.4391,-4.0499,0.1691,39.8588,3.533
1588749725204,22.4226,-3.42,0.1692,39.8753,3.533
1588749725224,22.4226,-15.2991,0.1692,39.8753,3.533
1588749725244,22.3896,-12.317,0.1692,39.8753,3.23
1588749725264,22.3566,-4.5375,0.1691,39.8588,3.23
1588749725284,22.3566,-3.1743,0.1691,39.8588,3.23
1588749725304,22.3401,-11.4704,0.1691,39.8588,3.366
1588749725324,22.3401,-7.58,0.1691,39.8588,3.366
1588749725344,22.3401,-11.2361,0.1691,39.8423,3.366
1588749725364,22.3235,-11.4622,0.169,39.8257,3.475
1588749725384,22.307,-11.0301,0.1688,39.7927,3.475
1588749725404,22.3401,-0.2438,0.1686,39.7432,3.475
1588749725424,22.3235,-8.9786,0.1684,39.6936,3.456
1588749725444,22.3401,-15.6644,0.1682,39.6606,3.456
1588749725464,22.307,-15.5096,0.168,39.6111,3.462
1588749725484,22.3235,-15.2284,0.1679,39.5781,3.462
1588749725504,22.3401,-9.9813,0.1678,39.545,3.462
1588749725524,22.3731,-9.9752,0.1677,39.5285,3.322
1588749725544,22.3896,2.5194,0.1676,39.5285,3.322
1588749725564,22.4061,-4.8342,0.1676,39.512,3.322
1588749725584,22.4061,-12.7971,0.1675,39.4955,3.296
1588749725604,22.3896,-1.6463,0.1675,39.479,3.296
1588749725624,22.4226,-6.5085,0.1675,39.479,3.298
1588749725644,22.4887,-2.6124,0.1674,39.479,3.298
1588749725664,22.5217,-9.868,0.1674,39.479,3.298
1588749725684,22.4887,-11.3149,0.1675,39.479,3.356
1588749725704,22.4556,-7.8877,0.1675,39.479,3.356
1588749725724,22.4061,-12.3765,0.1674,39.4625,3.356
1588749725744,22.3235,-13.1469,0.1673,39.446,3.356
1588749725764,22.2575,-13.138,0.1672,39.4295,3.356
1588749725784,22.241,-19.5785,0.1671,39.3964,3.333
1588749725804,22.2245,-5.5384,0.1671,39.3799,3.333
1588749725824,22.2245,-7.487,0.167,39.3634,3.333
1588749725844,22.208,-13.3405,0.167,39.3469,3.296
1588749725864,22.208,-6.8648,0.1669,39.3469,3.296
1588749725884,22.2575,-7.8126,0.1669,39.3469,3.296
1588749725904,22.3566,-6.0109,0.167,39.3634,3.296
1588749725924,22.4226,-6.9717,0.1672,39.3964,3.419
1588749725944,22.4556,-4.2962,0.1673,39.446,3.419
1588749725964,22.4722,-4.204,0.1675,39.479,3.419
1588749725984,22.4722,-2.808,0.1676,39.512,3.356
1588749726004,22.4391,-2.7617,0.1678,39.5285,3.356
1588749726024,22.4226,-13.3226,0.1679,39.5616,3.356
1588749726044,22.3731,-23.411,0.168,39.5781,3.252
1588749726064,22.307,-10.5078,0.168,39.5946,3.252
1588749726084,22.307,-10.4611,0.168,39.5946,3.252
1588749726104,22.3566,-10.5103,0.168,39.6111,3.369
1588749726124,22.4061,-9.9506,0.1681,39.6111,3.369
1588749726144,22.4226,-11.9645,0.1682,39.6276,3.396
1588749726164,22.3896,-11.6868,0.1682,39.6441,3.396
1588749726184,22.3566,-8.3019,0.1682,39.6441,3.394
1588749726204,22.3566,-2.042,0.1682,39.6606,3.394
1588749726224,22.4061,-3.741,0.1683,39.6771,3.394
1588749726244,22.4391,-10.1065,0.1683,39.6771,3.294
1588749726264,22.5052,-7.2151,0.1684,39.6936,3.294
1588749726284,22.5877,-4.8138,0.1686,39.7432,3.294
1588749726304,22.6373,-3.7068,0.1689,39.8257,3.487
1588749726324,22.7198,-7.0634,0.1694,39.9248,3.487
1588749726344,22.8024,-15.9911,0.1698,40.0404,3.487
1588749726364,22.8684,-6.7161,0.1703,40.156,3.458
1588749726384,22.9015,-8.9644,0.1708,40.2715,3.458
1588749726404,22.918,-6.2645,0.1713,40.3871,3.458
1588749726424,22.918,-10.552,0.1717,40.4862,3.245
1588749726444,22.9345,-7.863,0.1721,40.5688,3.245
1588749726464,22.9675,-3.9318,0.1724,40.6348,3.245
1588749726484,23.0005,-11.2328,0.1726,40.7008,3.318
1588749726504,23.0335,-6.8634,0.1728,40.7504,3.318
1588749726524,23.0501,-10.3884,0.173,40.7834,3.318
1588749726544,23.0831,-6.8262,0.1731,40.7999,3.508
1588749726564,23.0996,-6.8778,0.1732,40.8329,3.508
1588749726587,23.1161,-14.461,0.1732,40.8494,3.508
1588749726607,23.1326,-6.7347,0.1733,40.8494,3.33
1588749726627,23.1821,-11.5678,0.1733,40.866,3.33
1588749726647,23.1987,7.8205,0.1733,40.8494,3.33
1588749726667,23.1987,-12.0911,0.1732,40.8494,3.505
1588749726687,23.1821,-9.0921,0.1732,40.8494,3.505
1588749726707,23.1161,-1.5521,0.1731,40.8329,3.505
1588749726727,23.0501,-3.2005,0.173,40.7999,3.24
1588749726747,22.984,-9.3684,0.1729,40.7669,3.24
1588749726767,22.9345,-8.7274,0.1728,40.7339,3.24
1588749726787,22.918,-6.8601,0.1726,40.7174,3.47
1588749726807,22.951,2.3948,0.1726,40.7008,3.47
1588749726827,23.017,-10.0794,0.1726,40.7008,3.47
1588749726847,23.0666,-7.3981,0.1726,40.7008,3.285
1588749726867,23.0996,-12.8161,0.1727,40.7174,3.285
1588749726887,23.0666,-11.6301,0.1728,40.7504,3.285
1588749726907,23.0831,1.1005,0.1729,40.7834,3.394
1588749726927,23.0831,-7.959,0.1731,40.8164,3.394
1588749726947,23.0666,-10.1657,0.1732,40.8494,3.394
1588749726967,23.0831,-10.8957,0.1733,40.866,3.394
1588749726987,23.0831,-11.3356,0.1734,40.8825,3.321
1588749727007,23.0831,-5.8468,0.1733,40.8825,3.321
1588749727027,23.1161,-12.7683,0.1733,40.866,3.322
