ts,ihd03A,ihd05A,ihd07A,ithdA
1588747431882,7.34,2.23,0.53,19.49
1588747431903,10.27,4.11,1.37,18.87
1588747431924,10.98,4.6,1.62,18.93
1588747431944,11.38,4.93,1.79,19.04
1588747431964,11.9,5.43,2.03,19.29
1588747431984,12.2,5.75,2.17,19.57
1588747432005,12.42,6.02,2.29,19.88
1588747432026,12.51,6.22,2.37,20.1
1588747432047,12.55,6.37,2.42,20.22
1588747432068,12.54,6.44,2.44,20.23
1588747432089,12.53,6.46,2.49,20.06
1588747432111,12.54,6.5,2.53,19.85
1588747432132,12.55,6.57,2.6,19.57
1588747432153,12.55,6.67,2.66,19.17
1588747432174,12.53,6.78,2.66,18.86
1588747432195,12.51,6.88,2.63,18.65
1588747432216,12.5,6.97,2.56,18.55
1588747432237,12.52,7.06,2.49,18.54
1588747432261,12.52,7.11,2.42,18.59
1588747432281,12.55,7.14,2.31,18.74
1588747432301,12.61,7.14,2.21,18.93
1588747432322,12.68,7.12,2.1,19.11
1588747432342,12.78,7.12,2.03,19.23
1588747432363,12.91,7.07,1.98,19.32
1588747432383,13.05,7.02,2.0,19.26
1588747432403,13.16,6.95,2.05,19.18
1588747432423,13.27,6.9,2.12,19.08
1588747432443,13.36,6.88,2.21,19.05
1588747432463,13.43,6.88,2.28,19.05
1588747432483,13.5,6.9,2.33,19.1
1588747432504,13.56,6.93,2.35,19.18
1588747432525,13.62,6.98,2.4,19.34
1588747432545,13.61,7.01,2.43,19.46
1588747432565,13.61,7.03,2.48,19.66
1588747432585,13.54,7.01,2.51,19.88
1588747432605,13.47,7.0,2.56,20.11
1588747432625,13.37,6.94,2.61,20.23
1588747432645,13.24,6.88,2.66,20.29
1588747432665,13.11,6.83,2.71,20.28
1588747432685,12.96,6.81,2.75,20.13
1588747432705,12.83,6.8,2.8,19.82
1588747432725,12.67,6.79,2.79,19.52
1588747432745,12.54,6.83,2.77,19.16
1588747432765,12.4,6.87,2.74,18.85
1588747432789,12.29,6.9,2.69,18.57
1588747432810,12.19,6.99,2.62,18.37
1588747432830,12.13,7.11,2.57,18.26
1588747432850,12.16,7.22,2.54,18.38
1588747432870,12.21,7.3,2.55,18.6
1588747432890,12.3,7.39,2.52,18.88
1588747432911,12.4,7.41,2.5,19.02
1588747432933,12.51,7.43,2.45,19.08
1588747432953,12.69,7.41,2.43,19.05
1588747432973,12.82,7.33,2.38,19.02
1588747432993,12.96,7.28,2.38,18.99
1588747433013,13.05,7.26,2.35,19.01
1588747433033,13.19,7.19,2.38,19.0
1588747433053,13.31,7.14,2.4,19.01
1588747433073,13.39,7.1,2.43,19.07
1588747433093,13.45,7.01,2.4,19.18
1588747433113,13.46,6.95,2.41,19.29
1588747433133,13.42,6.87,2.39,19.52
1588747433153,13.34,6.83,2.39,19.69
1588747433173,13.25,6.82,2.44,19.86
1588747433193,13.15,6.83,2.54,20.08
1588747433213,13.06,6.84,2.64,20.24
1588747433233,12.93,6.86,2.78,20.24
1588747433253,12.83,6.88,2.87,20.11
1588747433273,12.72,6.88,2.94,19.93
1588747433293,12.64,6.89,2.98,19.68
1588747433314,12.6,6.91,2.98,19.44
1588747433334,12.53,6.92,2.95,19.13
1588747433354,12.5,6.89,2.9,18.93
1588747433375,12.47,6.89,2.83,18.77
1588747433395,12.41,6.88,2.74,18.65
1588747433415,12.36,6.88,2.64,18.67
1588747433435,12.32,6.91,2.55,18.69
1588747433455,12.32,6.91,2.43,18.74
1588747433475,12.37,6.93,2.36,18.79
1588747433496,12.45,6.94,2.29,18.94
1588747433516,12.55,6.99,2.29,19.14
1588747433536,12.64,6.99,2.32,19.26
1588747433559,12.76,7.01,2.32,19.33
1588747433579,12.92,7.03,2.36,19.29
1588747433599,13.08,7.07,2.39,19.26
1588747433619,13.23,7.09,2.43,19.28
1588747433639,13.37,7.12,2.43,19.25
1588747433660,13.49,7.14,2.48,19.26
1588747433683,13.6,7.15,2.5,19.32
1588747433703,13.61,7.13,2.53,19.49
1588747433723,13.58,7.1,2.53,19.63
1588747433743,13.46,7.06,2.51,19.79
1588747433764,13.31,6.99,2.49,19.88
1588747433784,13.13,6.95,2.49,19.87
1588747433804,12.96,6.9,2.52,19.83
1588747433824,12.79,6.9,2.54,19.75
1588747433844,12.67,6.9,2.59,19.59
1588747433864,12.59,6.89,2.63,19.46
1588747433884,12.49,6.9,2.67,19.14
1588747433904,12.46,6.92,2.69,18.89
1588747433924,12.47,6.96,2.67,18.71
1588747433944,12.51,6.98,2.62,18.63
1588747433964,12.58,6.98,2.53,18.67
1588747433984,12.63,6.98,2.41,18.72
1588747434004,12.68,6.98,2.29,18.84
1588747434024,12.7,7.01,2.18,18.96
1588747434044,12.75,7.03,2.11,19.06
1588747434064,12.77,7.05,2.06,19.1
1588747434084,12.84,7.07,2.01,19.22
1588747434105,12.89,7.07,1.96,19.24
1588747434125,13.0,7.09,1.92,19.23
1588747434145,13.11,7.11,1.92,19.2
1588747434165,13.19,7.09,1.94,19.14
1588747434185,13.26,7.09,1.96,19.11
1588747434205,13.4,7.04,2.08,19.11
1588747434225,13.47,7.01,2.17,19.11
1588747434245,13.48,6.99,2.24,19.14
1588747434265,13.46,6.98,2.29,19.18
1588747434285,13.41,6.94,2.36,19.27
1588747434305,13.36,6.9,2.42,19.45
1588747434325,13.29,6.87,2.44,19.67
1588747434345,13.22,6.83,2.49,19.92
1588747434365,13.14,6.82,2.54,20.16
1588747434385,13.08,6.8,2.62,20.24
1588747434405,12.99,6.82,2.71,20.17
1588747434425,12.88,6.84,2.78,20.01
1588747434445,12.78,6.88,2.87,19.78
1588747434465,12.67,6.94,2.96,19.52
1588747434485,12.59,7.01,2.98,19.22
1588747434505,12.5,7.07,2.93,18.99
1588747434525,12.45,7.12,2.86,18.82
1588747434545,12.43,7.19,2.74,18.8
1588747434565,12.4,7.21,2.65,18.82
1588747434585,12.38,7.21,2.56,18.87
1588747434605,12.41,7.21,2.49,18.95
1588747434625,12.44,7.17,2.44,19.02
1588747434645,12.48,7.12,2.37,19.07
1588747434665,12.58,7.07,2.32,19.09
1588747434685,12.67,7.07,2.3,19.13
1588747434705,12.8,7.07,2.27,19.17
1588747434725,12.91,7.09,2.3,19.23
1588747434745,13.04,7.13,2.34,19.16
1588747434765,13.16,7.16,2.38,19.04
1588747434785,13.29,7.2,2.43,18.95
1588747434805,13.45,7.22,2.43,18.9
1588747434825,13.59,7.22,2.4,18.92
1588747434849,13.69,7.2,2.41,19.05
1588747434869,13.73,7.14,2.39,19.24
1588747434889,13.7,7.08,2.37,19.43
1588747434909,13.66,7.05,2.37,19.63
1588747434929,13.5,6.97,2.35,19.86
1588747434951,13.37,6.93,2.35,19.98
1588747434971,13.18,6.85,2.36,20.07
1588747434992,12.97,6.8,2.38,20.03
1588747435012,12.82,6.78,2.43,19.93
1588747435032,12.67,6.77,2.47,19.73
1588747435052,12.51,6.76,2.54,19.37
1588747435073,12.39,6.75,2.61,19.03
1588747435093,12.32,6.76,2.67,18.69
1588747435113,12.26,6.79,2.71,18.4
1588747435133,12.22,6.81,2.71,18.21
1588747435153,12.19,6.83,2.69,18.11
1588747435173,12.16,6.9,2.64,18.08
1588747435193,12.19,6.95,2.55,18.23
1588747435213,12.24,7.04,2.43,18.5
1588747435233,12.35,7.1,2.29,18.82
1588747435253,12.5,7.15,2.18,19.09
1588747435273,12.64,7.2,2.11,19.31
1588747435293,12.8,7.2,2.04,19.44
1588747435313,12.92,7.22,2.04,19.48
1588747435333,13.07,7.21,2.06,19.27
1588747435354,13.2,7.23,2.15,19.07
1588747435375,13.29,7.2,2.24,18.98
1588747435395,13.38,7.18,2.34,18.98
1588747435415,13.43,7.16,2.41,18.98
1588747435439,13.44,7.12,2.45,18.99
1588747435460,13.43,7.03,2.5,19.06
1588747435482,13.38,6.97,2.53,19.15
1588747435502,13.29,6.87,2.58,19.38
1588747435522,13.19,6.83,2.64,19.61
1588747435542,13.1,6.79,2.69,19.8
1588747435562,12.97,6.78,2.78,19.89
1588747435582,12.85,6.76,2.85,19.9
1588747435602,12.71,6.75,2.93,19.8
1588747435622,12.58,6.73,2.95,19.6
1588747435642,12.48,6.74,2.92,19.34
1588747435662,12.39,6.74,2.87,19.14
1588747435682,12.26,6.8,2.75,18.78
1588747435702,12.18,6.81,2.63,18.5
1588747435722,12.15,6.86,2.49,18.33
1588747435742,12.1,6.9,2.37,18.3
1588747435762,12.1,6.95,2.3,18.32
1588747435782,12.15,7.02,2.23,18.4
1588747435802,12.2,7.07,2.18,18.55
1588747435822,12.3,7.12,2.16,18.79
1588747435842,12.42,7.15,2.11,18.94
1588747435862,12.52,7.17,2.09,19.06
1588747435882,12.7,7.17,2.07,19.2
1588747435902,12.84,7.17,2.04,19.26
1588747435922,12.99,7.19,2.06,19.24
1588747435942,13.14,7.23,2.08,19.16
1588747435962,13.23,7.25,2.11,19.1
1588747435982,13.36,7.27,2.13,18.95
1588747436002,13.41,7.24,2.15,18.88
1588747436022,13.4,7.23,2.2,18.94
1588747436042,13.37,7.19,2.25,19.08
1588747436062,13.31,7.12,2.28,19.22
1588747436082,13.2,7.02,2.33,19.37
1588747436102,13.1,6.96,2.38,19.57
1588747436122,13.0,6.92,2.45,19.74
1588747436142,12.84,6.88,2.57,19.87
1588747436162,12.75,6.88,2.65,19.95
1588747436182,12.61,6.86,2.72,19.87
1588747436202,12.52,6.85,2.76,19.63
1588747436222,12.43,6.84,2.76,19.28
1588747436242,12.37,6.83,2.73,19.0
1588747436263,12.36,6.85,2.7,18.82
1588747436283,12.38,6.87,2.63,18.68
1588747436303,12.37,6.91,2.54,18.6
1588747436323,12.36,6.95,2.46,18.55
1588747436343,12.36,7.0,2.39,18.57
1588747436363,12.36,7.02,2.35,18.61
1588747436383,12.33,7.07,2.25,18.68
1588747436403,12.35,7.09,2.11,18.72
1588747436423,12.37,7.07,2.04,18.69
1588747436443,12.44,7.04,1.92,18.69
1588747436463,12.51,7.01,1.87,18.75
1588747436484,12.59,6.98,1.87,18.71
1588747436504,12.68,6.96,1.94,18.65
1588747436524,12.81,6.95,2.08,18.59
1588747436544,12.94,6.95,2.22,18.54
