ts,pwrA,rpwrA,curA,apwrA,screA
1588747760267,58.6323,46.2518,0.3097,72.469,1.741
1588747760287,58.6488,45.5887,0.3098,72.502,1.741
1588747760307,58.6158,46.0149,0.3099,72.5185,1.741
1588747760327,58.6323,46.0836,0.3099,72.5185,1.757
1588747760347,58.6488,46.7685,0.3099,72.5185,1.757
1588747760367,58.6984,45.2489,0.3099,72.5185,1.757
1588747760387,58.7149,47.303,0.3099,72.5185,1.757
1588747760407,58.7314,46.6297,0.3099,72.5185,1.757
1588747760427,58.7149,45.9545,0.3099,72.535,1.855
1588747760447,58.6819,46.6569,0.31,72.5515,1.855
1588747760467,58.6654,46.8617,0.3101,72.5846,1.855
1588747760487,58.5993,47.9113,0.3103,72.6176,1.856
1588747760507,58.5828,46.0968,0.3104,72.6506,1.856
1588747760578,58.5828,45.6958,0.3105,72.6671,1.856
1588747760598,58.4672,42.5843,0.3105,72.6671,1.706
1588747760618,58.5002,44.2607,0.3103,72.6011,1.706
1588747760638,58.5002,44.0763,0.31,72.535,1.755
1588747760658,58.4837,43.7455,0.3096,72.4525,1.755
1588747760678,58.4672,44.7501,0.3093,72.3699,1.755
1588747760698,58.4672,43.8027,0.309,72.3039,1.741
1588747760718,58.4672,44.5925,0.3087,72.2543,1.741
1588747760738,58.5002,43.744,0.3086,72.2048,1.741
1588747760758,58.5002,43.5201,0.3085,72.2048,1.743
1588747760778,58.5333,42.321,0.3086,72.2213,1.743
1588747760798,58.6158,44.2561,0.3088,72.2708,1.743
1588747760818,58.6323,43.8809,0.309,72.3204,1.757
1588747760838,58.6819,42.561,0.3093,72.3864,1.757
1588747760858,58.6984,42.6722,0.3096,72.4525,1.757
1588747760878,58.6819,43.4895,0.3098,72.502,1.757
1588747760898,58.6819,43.5824,0.31,72.5515,1.806
1588747760918,58.6819,42.3815,0.3101,72.568,1.806
1588747760938,58.6654,42.6061,0.3102,72.5846,1.806
1588747760958,58.6654,43.8236,0.3102,72.5846,1.796
1588747760978,58.6654,43.1864,0.3103,72.6011,1.796
1588747760998,58.7314,43.4137,0.3103,72.6011,1.824
1588747761018,58.7809,42.991,0.3104,72.6341,1.824
1588747761038,58.814,44.0755,0.3106,72.6671,1.824
1588747761058,58.847,45.084,0.3107,72.7001,1.824
1588747761078,58.814,43.0638,0.311,72.7497,1.824
1588747761098,58.88,44.1662,0.3112,72.8157,1.86
1588747761118,58.88,43.2732,0.3115,72.8652,1.86
1588747761138,58.8635,44.091,0.3117,72.8983,1.86
1588747761158,58.7975,44.2355,0.3117,72.9148,1.657
1588747761178,58.7479,44.0168,0.3117,72.9148,1.657
1588747761198,58.6158,44.2095,0.3115,72.8652,1.657
1588747761218,58.5002,43.3824,0.3112,72.7992,1.657
1588747761238,58.3847,44.3899,0.3108,72.6836,1.691
1588747761258,58.3186,43.3826,0.3102,72.568,1.691
1588747761278,58.3186,43.3075,0.3097,72.436,1.691
1588747761298,58.3351,44.0926,0.3092,72.3369,1.773
1588747761318,58.3351,44.7401,0.3089,72.2543,1.773
1588747761338,58.3351,44.7091,0.3086,72.1883,1.773
1588747761358,58.3682,43.1391,0.3084,72.1553,1.862
1588747761378,58.4177,46.2581,0.3084,72.1553,1.862
1588747761398,58.4837,45.0483,0.3086,72.1883,1.862
1588747761418,58.5002,46.317,0.3088,72.2543,1.862
1588747761438,58.5002,46.0153,0.3091,72.3204,1.757
1588747761458,58.4672,45.6373,0.3093,72.3699,1.757
1588747761478,58.4342,46.0715,0.3094,72.4029,1.757
1588747761498,58.4507,46.4351,0.3095,72.4194,1.761
1588747761518,58.4837,46.6439,0.3096,72.436,1.761
1588747761538,58.5168,46.8571,0.3096,72.4525,1.761
1588747761558,58.5002,47.6046,0.3097,72.469,1.761
1588747761578,58.4672,47.0013,0.3097,72.469,1.785
1588747761598,58.4177,46.4623,0.3096,72.469,1.786
1588747761618,58.4012,47.3943,0.3096,72.4525,1.786
1588747761638,58.3682,45.7567,0.3095,72.436,1.786
1588747761658,58.4012,47.0519,0.3095,72.436,1.786
1588747761678,58.4837,45.1548,0.3096,72.469,1.875
1588747761698,58.5333,45.2412,0.3098,72.502,1.875
1588747761718,58.5663,45.4017,0.3099,72.535,1.875
1588747761738,58.5993,45.3515,0.31,72.568,1.872
1588747761758,58.5993,45.7167,0.3102,72.6011,1.872
1588747761778,58.5002,44.4731,0.3102,72.6011,1.872
1588747761798,58.4507,45.2171,0.3101,72.568,1.738
1588747761818,58.4012,45.4663,0.3099,72.5185,1.738
1588747761838,58.3682,44.3152,0.3096,72.469,1.738
1588747761858,58.3682,43.2222,0.3093,72.4029,1.738
1588747761878,58.3682,44.3117,0.309,72.3369,1.777
1588747761898,58.4012,42.427,0.3088,72.2708,1.777
1588747761918,58.4342,43.3989,0.3086,72.2378,1.78
1588747761938,58.4507,44.2248,0.3085,72.2048,1.78
1588747761958,58.4507,44.0768,0.3084,72.1883,1.78
1588747761978,58.4672,43.8084,0.3084,72.2048,1.78
1588747761998,58.4672,43.3958,0.3086,72.2378,1.842
1588747762018,58.4837,42.0651,0.3088,72.2708,1.842
1588747762038,58.5333,41.5141,0.309,72.3204,1.842
1588747762058,58.5828,42.3479,0.3092,72.3699,1.753
1588747762078,58.5993,42.3534,0.3093,72.4029,1.753
1588747762098,58.6158,43.5401,0.3096,72.469,1.753
1588747762118,58.5993,42.8406,0.3097,72.502,1.789
1588747762138,58.5828,42.918,0.3097,72.502,1.789
1588747762158,58.5663,42.1348,0.3097,72.502,1.789
1588747762178,58.5333,43.3404,0.3097,72.502,1.75
1588747762198,58.5168,43.691,0.3096,72.4855,1.75
1588747762218,58.5498,43.3363,0.3096,72.469,1.75
1588747762238,58.5498,43.5402,0.3095,72.469,1.75
1588747762258,58.5333,43.4748,0.3096,72.4855,1.74
1588747762278,58.5002,45.6608,0.3096,72.502,1.74
1588747762298,58.4507,44.4843,0.3097,72.5185,1.739
1588747762318,58.4507,43.3053,0.3099,72.5515,1.739
1588747762338,58.4012,44.0331,0.31,72.5846,1.739
1588747762358,58.3847,44.4032,0.3101,72.6011,1.739
1588747762378,58.3847,44.2569,0.3101,72.6011,1.722
1588747762398,58.3516,44.4647,0.3101,72.6011,1.722
1588747762418,58.3021,43.0273,0.31,72.568,1.722
1588747762438,58.2361,44.1369,0.3097,72.502,1.73
1588747762458,58.1535,44.2177,0.3094,72.4194,1.73
1588747762478,58.104,45.2785,0.309,72.3204,1.73
1588747762498,58.0214,44.7985,0.3085,72.2213,1.73
1588747762518,57.9884,44.7292,0.3081,72.1222,1.753
1588747762538,57.9389,44.3231,0.3077,72.0232,1.753
1588747762558,57.9884,44.2131,0.3074,71.9571,1.756
1588747762578,58.0875,45.178,0.3074,71.9406,1.756
1588747762598,58.137,45.7318,0.3075,71.9736,1.756
1588747762618,58.1535,46.1701,0.3077,72.0232,1.756
1588747762638,58.17,45.8016,0.3079,72.0727,1.733
1588747762658,58.1865,46.4449,0.3082,72.1222,1.733
1588747762678,58.1865,46.0731,0.3084,72.1883,1.733
1588747762698,58.1865,46.7751,0.3086,72.2213,1.809
1588747762718,58.17,46.5945,0.3087,72.2543,1.809
1588747762738,58.1205,46.5879,0.3087,72.2543,1.809
1588747762758,58.137,45.7037,0.3086,72.2378,1.808
1588747762778,58.1205,45.8942,0.3085,72.2048,1.808
1588747762798,58.0875,47.0867,0.3084,72.1883,1.808
1588747762819,58.0709,47.9363,0.3083,72.1553,1.808
1588747762839,58.0875,46.2562,0.3082,72.1553,1.779
1588747762860,58.1535,45.1103,0.3083,72.1718,1.779
1588747762880,58.17,45.6729,0.3084,72.2048,1.779
1588747762900,58.1865,47.5205,0.3086,72.2378,1.793
1588747762920,58.203,46.6121,0.3087,72.2708,1.793
1588747762940,58.2195,46.2944,0.3089,72.3204,1.735
1588747762960,58.2526,46.0635,0.3091,72.3699,1.735
1588747762980,58.2195,45.8739,0.3092,72.4194,1.735
1588747763000,58.17,45.2608,0.3093,72.4194,1.712
1588747763020,58.1535,44.6236,0.3092,72.4029,1.712
1588747763040,58.1205,43.1947,0.309,72.3534,1.712
1588747763060,58.0875,43.7852,0.3087,72.2873,1.712
1588747763080,58.0214,43.0254,0.3083,72.1883,1.741
1588747763100,58.0709,43.3277,0.3079,72.1057,1.741
1588747763120,58.0709,42.4861,0.3075,72.0067,1.741
1588747763140,58.0709,43.1549,0.3072,71.9241,1.741
1588747763160,58.0709,42.691,0.3069,71.8746,1.927
1588747763180,58.0875,42.5224,0.3067,71.8415,1.927
1588747763200,58.0709,43.2261,0.3067,71.825,1.927
1588747763220,58.0709,43.3746,0.3068,71.858,1.927
1588747763240,58.0709,44.3073,0.3069,71.8911,1.797
1588747763260,58.0709,44.3363,0.3071,71.9406,1.797
1588747763280,58.0709,43.1147,0.3074,71.9901,1.797
1588747763300,58.1205,43.7039,0.3076,72.0397,1.892
1588747763320,58.1205,43.2468,0.3078,72.0892,1.892
1588747763340,58.17,41.5455,0.3079,72.1222,1.892
1588747763360,58.2361,43.917,0.308,72.1553,1.892
1588747763380,58.2526,44.1332,0.3081,72.1718,1.812
1588747763400,58.3021,42.0854,0.3082,72.1883,1.812
1588747763420,58.3516,43.1662,0.3083,72.2048,1.812
1588747763440,58.4012,43.467,0.3083,72.2213,1.812
1588747763460,58.4342,43.6894,0.3084,72.2543,1.937
1588747763480,58.4672,43.5032,0.3086,72.2873,1.937
1588747763500,58.5168,43.8945,0.3089,72.3534,1.937
1588747763520,58.5498,43.5238,0.3092,72.436,1.779
1588747763540,58.5993,43.7802,0.3096,72.5185,1.779
1588747763560,58.6158,43.2546,0.3099,72.6011,1.779
1588747763580,58.6158,44.0032,0.3101,72.6506,1.747
1588747763600,58.5828,42.437,0.3102,72.6671,1.747
1588747763620,58.5663,42.7224,0.3102,72.6506,1.746
1588747763640,58.5333,44.475,0.31,72.6176,1.746
1588747763660,58.4837,43.7926,0.3097,72.535,1.746
1588747763680,58.5002,44.096,0.3093,72.4525,1.805
1588747763700,58.5663,44.5493,0.309,72.3864,1.805
1588747763720,58.6158,44.2372,0.3088,72.3204,1.805
1588747763740,58.6158,45.19,0.3087,72.2873,1.805
1588747763760,58.5828,44.9634,0.3086,72.2708,1.824
1588747763780,58.6158,44.7641,0.3086,72.2873,1.824
1588747763800,58.6819,45.1924,0.3088,72.3039,1.824
1588747763820,58.7479,47.0711,0.309,72.3699,1.801
1588747763840,58.8305,45.2106,0.3094,72.4525,1.801
1588747763860,58.913,46.922,0.3098,72.5515,1.801
1588747763880,58.9626,45.3508,0.3103,72.6671,1.801
1588747763900,59.0121,46.3029,0.3107,72.7662,1.854
1588747763920,59.0451,47.1009,0.311,72.8322,1.854
1588747763940,59.0451,47.2695,0.3112,72.8818,1.8
1588747763960,59.0616,45.5726,0.3113,72.9148,1.8
1588747763980,59.0781,45.6425,0.3114,72.9148,1.8
1588747764000,59.0947,45.0154,0.3114,72.9313,1.862
1588747764020,59.1607,47.0996,0.3114,72.9148,1.862
1588747764040,59.2267,47.233,0.3115,72.9313,1.862
1588747764060,59.3093,47.4552,0.3116,72.9643,1.862
1588747764080,59.3754,46.6061,0.3119,73.0304,1.78
1588747764100,59.4744,46.7203,0.3122,73.0964,1.78
1588747764120,59.4909,45.936,0.3125,73.1625,1.717
1588747764140,59.4744,43.7088,0.3128,73.2285,1.717
1588747764160,59.4579,45.3011,0.3129,73.278,1.717
1588747764180,59.4414,44.2599,0.3131,73.2945,1.717
1588747764200,59.4909,42.2957,0.3131,73.3111,1.762
1588747764220,59.524,43.7561,0.3131,73.3111,1.762
1588747764240,59.5405,44.1072,0.313,73.278,1.762
1588747764260,59.59,43.1373,0.3128,73.245,1.779
1588747764280,59.6726,44.0511,0.3127,73.1955,1.779
1588747764300,59.7056,43.2466,0.3125,73.1625,1.771
1588747764320,59.7221,43.5942,0.3124,73.1459,1.771
1588747764340,59.7716,43.5835,0.3124,73.1459,1.771
1588747764360,59.8377,43.523,0.3125,73.1625,1.808
1588747764380,59.8707,45.7489,0.3127,73.212,1.808
1588747764400,59.8707,44.8735,0.313,73.278,1.808
1588747764420,59.8872,43.8465,0.3133,73.3441,1.808
1588747764440,59.9863,42.815,0.3137,73.4266,1.777
1588747764460,60.0523,43.1563,0.3141,73.5257,1.777
1588747764480,60.0853,42.9185,0.3145,73.6248,1.777
1588747764500,60.1514,44.056,0.3148,73.6908,1.865
1588747764520,60.2009,43.9498,0.3151,73.7569,1.865
1588747764540,60.234,42.9557,0.3153,73.8064,1.865
1588747764560,60.2835,41.1181,0.3154,73.8394,1.84
1588747764580,60.3,43.5161,0.3155,73.8725,1.84
1588747764600,60.333,42.7905,0.3156,73.9055,1.84
1588747764620,60.4156,42.4442,0.3158,73.9385,1.84
1588747764640,60.4651,43.7248,0.316,73.988,1.851
1588747764660,60.4981,42.7354,0.3162,74.0541,1.851
1588747764680,60.5477,43.57,0.3165,74.1201,1.851
1588747764700,60.5642,43.6986,0.3168,74.1862,1.783
1588747764720,60.5642,43.3606,0.3171,74.2522,1.78
1588747764740,60.5642,42.1953,0.3173,74.2852,1.78
1588747764760,60.6137,41.7567,0.3173,74.3018,1.78
1588747764780,60.5972,43.9892,0.3174,74.3183,1.78
1588747764800,60.5477,42.7205,0.3173,74.2852,1.686
1588747764820,60.5146,43.1343,0.317,74.2357,1.686
1588747764840,60.4651,42.6455,0.3167,74.1697,1.686
1588747764860,60.4651,43.852,0.3164,74.0706,1.788
1588747764880,60.4486,45.0292,0.316,74.0045,1.788
1588747764900,60.4321,44.9237,0.3157,73.9385,1.788
1588747764920,60.3495,45.2461,0.3155,73.8725,1.858
1588747764940,60.3165,45.363,0.3153,73.8229,1.858
1588747764960,60.267,45.6294,0.3152,73.8064,1.858
1588747764980,60.267,46.4012,0.3151,73.7899,1.773
1588747765000,60.2835,44.6303,0.3152,73.8064,1.773
1588747765020,60.3495,46.2918,0.3154,73.8394,1.773
1588747765040,60.4321,46.6048,0.3156,73.889,1.755
1588747765060,60.4981,46.7094,0.3158,73.955,1.755
1588747765080,60.4981,46.3941,0.3161,74.0045,1.755
1588747765100,60.5477,48.0167,0.3162,74.0541,1.816
1588747765120,60.5972,46.4369,0.3164,74.0871,1.816
1588747765140,60.5972,46.5238,0.3165,74.1036,1.816
1588747765160,60.6137,46.3906,0.3165,74.1201,1.816
1588747765180,60.5972,46.8121,0.3165,74.1201,1.81
1588747765200,60.5807,46.4748,0.3165,74.1201,1.81
1588747765220,60.5972,45.2551,0.3166,74.1366,1.81
1588747765240,60.6137,44.1889,0.3167,74.1531,1.813
1588747765260,60.6467,45.1494,0.3168,74.1862,1.813
1588747765280,60.6632,44.7333,0.3169,74.2192,1.812
1588747765300,60.6963,43.65,0.317,74.2357,1.812
1588747765320,60.7458,44.8257,0.3171,74.2522,1.812
1588747765340,60.7623,43.4385,0.3171,74.2522,1.792
