ts,pwrA,rpwrA,curA,apwrA,screA
1588751480588,65.0553,48.708,0.3416,80.0973,1.756
1588751480608,65.2039,48.7318,0.3349,78.5287,1.756
1588751480628,65.4186,46.6305,0.3346,78.4957,1.756
1588751480648,65.6497,45.7253,0.3348,78.5287,1.959
1588751480668,65.8644,47.0294,0.3352,78.6278,1.959
1588751480688,66.0955,47.1184,0.3358,78.7764,1.959
1588751480708,66.3267,46.4512,0.3366,78.9745,1.949
1588751480728,66.5579,45.5478,0.3375,79.1726,1.949
1588751480748,66.8055,46.8529,0.3385,79.4038,1.949
1588751480768,67.0202,47.3892,0.3394,79.635,1.949
1588751480788,67.1853,47.4421,0.3404,79.8496,1.958
1588751480808,67.3174,48.5804,0.3412,80.0478,1.958
1588751480828,67.433,50.0806,0.3419,80.2294,1.945
1588751480848,67.5816,45.9925,0.3426,80.3945,1.945
1588751480868,67.7632,46.4965,0.3433,80.5431,1.945
1588751480888,67.9613,46.1085,0.344,80.7247,1.898
1588751480908,68.1264,47.3422,0.3448,80.8898,1.898
1588751480928,68.2255,47.3967,0.3452,80.9889,1.889
1588751480948,68.5723,48.6188,0.3465,81.2861,1.889
1588751480968,68.7704,48.2686,0.3474,81.5173,1.889
1588751480988,68.9685,48.6347,0.3484,81.7484,1.889
1588751481008,69.1171,48.0466,0.3493,81.9631,2.049
1588751481028,69.2823,47.1011,0.3502,82.1612,2.049
1588751481048,69.4804,47.049,0.3511,82.3594,2.049
1588751481068,69.695,48.5607,0.3519,82.5575,2.049
1588751481088,69.9097,49.6481,0.3527,82.7391,1.999
1588751481108,70.0913,48.609,0.3534,82.9208,1.999
1588751481128,70.2564,50.7328,0.3541,83.0859,1.999
1588751481148,70.4711,46.619,0.3548,83.2345,1.999
1588751481168,70.6857,48.6319,0.3554,83.3831,2.047
1588751481188,70.8674,50.3707,0.3561,83.5317,2.047
1588751481208,71.0985,49.1506,0.3568,83.6968,2.047
1588751481228,71.4122,50.9887,0.3576,83.8949,2.047
1588751481248,71.7755,50.4952,0.3587,84.1591,2.051
1588751481268,72.1718,52.5623,0.36,84.4728,2.051
1588751481288,72.568,51.6374,0.3616,84.8361,2.051
1588751481308,72.9808,52.3638,0.3633,85.2159,2.186
1588751481328,73.3936,52.7178,0.3651,85.6451,2.186
1588751481348,73.7899,51.738,0.367,86.091,2.186
1588751481368,74.1366,54.5111,0.3689,86.5368,2.186
1588751481388,74.4834,54.2814,0.3708,86.9826,2.113
1588751481408,74.7971,54.7217,0.3726,87.4119,2.113
1588751481428,75.0943,54.1285,0.3743,87.8082,2.113
1588751481448,75.342,54.0039,0.3759,88.1714,2.12
1588751481468,75.5731,54.3849,0.3773,88.4851,2.12
1588751481488,75.8043,57.5229,0.3786,88.7988,2.104
1588751481508,75.9694,55.9358,0.3798,89.063,2.104
1588751481528,76.151,57.6845,0.3808,89.3107,2.104
1588751481548,76.2831,57.4237,0.3818,89.5419,2.084
1588751481568,76.3987,55.5908,0.3827,89.74,2.084
1588751481590,76.5308,53.2567,0.3835,89.9381,2.084
1588751481610,76.7124,56.9485,0.3843,90.1198,2.084
1588751481630,76.8775,55.0645,0.3851,90.3179,2.05
1588751481651,76.9766,55.705,0.3859,90.483,2.05
1588751481671,77.0427,55.7087,0.3865,90.6316,2.05
1588751481691,77.0427,56.3885,0.387,90.7472,2.05
1588751481711,77.0427,55.3789,0.3873,90.8132,1.979
1588751481731,76.9931,55.5671,0.3874,90.8463,1.979
1588751481751,76.8775,56.1901,0.3873,90.8298,1.979
1588751481772,76.795,53.0312,0.3871,90.7802,1.979
1588751481792,76.762,52.9989,0.3868,90.6977,2.155
1588751481812,76.7455,53.315,0.3865,90.6316,2.155
1588751481832,76.762,51.28,0.3862,90.5491,2.155
1588751481852,76.795,53.6945,0.386,90.516,2.155
1588751481872,76.828,52.6934,0.3859,90.4995,2.122
1588751481892,76.8445,52.1493,0.3859,90.483,2.122
1588751481912,76.861,55.2805,0.3859,90.4995,2.122
1588751481932,76.8445,53.5207,0.386,90.516,2.122
1588751481952,76.861,53.0047,0.3862,90.5656,2.111
1588751481972,76.8941,52.3048,0.3864,90.6151,2.111
1588751481992,76.9436,51.3559,0.3867,90.6812,2.111
1588751482012,77.0261,53.2012,0.387,90.7637,2.042
1588751482033,77.1252,51.9093,0.3874,90.8463,2.042
1588751482053,77.1417,53.4047,0.3878,90.9453,2.037
1588751482073,77.1252,54.783,0.3881,91.0114,2.037
1588751482093,77.0592,52.3945,0.3883,91.0609,2.037
1588751482113,77.0592,50.8393,0.3883,91.0774,2.037
1588751482133,77.0261,53.3943,0.3883,91.0774,2.104
1588751482153,77.0592,51.8422,0.3883,91.0609,2.104
1588751482173,77.0922,53.0294,0.3883,91.0774,2.104
1588751482193,77.0757,54.4692,0.3883,91.0609,2.104
1588751482213,77.0096,53.7442,0.3882,91.0609,2.024
1588751482233,76.9766,54.3604,0.3881,91.0279,2.024
1588751482253,76.9601,53.5485,0.388,91.0114,2.024
1588751482273,76.9601,51.4344,0.388,90.9949,2.024
1588751482293,76.9436,54.0756,0.388,90.9949,2.046
1588751482313,76.9436,55.3116,0.3879,90.9949,2.046
1588751482333,76.9271,53.263,0.3879,90.9949,2.046
1588751482353,76.9436,54.5057,0.388,90.9949,2.028
1588751482373,76.8775,52.8969,0.3879,90.9784,2.028
1588751482393,76.795,54.7556,0.3878,90.9453,2.028
1588751482413,76.7455,54.0961,0.3875,90.8958,2.028
1588751482433,76.6794,53.1557,0.3872,90.8132,2.005
1588751482453,76.6464,52.9268,0.3868,90.7307,2.005
1588751482473,76.6299,53.6045,0.3865,90.6481,2.005
1588751482493,76.6299,52.4693,0.3861,90.5656,2.005
1588751482513,76.5638,54.6614,0.3858,90.4995,2.123
1588751482533,76.4648,55.0546,0.3855,90.417,2.123
1588751482553,75.7713,56.6178,0.3848,90.2684,2.123
1588751482573,74.5494,55.1905,0.3833,89.8886,1.643
1588751482593,73.0799,56.3454,0.3806,89.2612,1.643
1588751482613,71.6434,54.4704,0.3771,88.4356,1.643
1588751482633,70.306,55.7096,0.373,87.4449,1.633
1588751482653,69.1171,53.7209,0.3685,86.3882,1.633
1588751482673,68.0769,53.7934,0.3639,85.3149,1.633
1588751482693,67.2183,53.0378,0.3594,84.2582,1.633
1588751482713,66.5083,53.1966,0.3551,83.2675,1.694
1588751482733,65.8974,52.213,0.3511,82.3263,1.694
1588751482753,65.369,51.5277,0.3475,81.4843,1.694
1588751482773,64.9893,49.9564,0.3442,80.7247,1.713
1588751482793,64.7416,51.2231,0.3414,80.0643,1.713
1588751482813,64.5104,52.4915,0.3389,79.5029,1.713
1588751482833,64.2958,50.4774,0.3369,79.024,1.765
1588751482853,64.1472,47.8897,0.3351,78.6113,1.765
1588751482873,64.0976,49.333,0.3337,78.281,1.765
1588751482893,64.0811,48.4938,0.3326,78.0333,1.822
1588751482913,63.9986,50.3521,0.3317,77.8187,1.822
1588751482933,63.916,50.0934,0.3309,77.6371,1.822
1588751482953,63.8335,48.3153,0.3303,77.505,1.862
1588751482973,63.7509,48.0239,0.3299,77.3894,1.862
1588751482993,63.7344,46.1597,0.3295,77.2903,1.862
1588751483013,63.7509,47.244,0.3292,77.2243,1.862
1588751483033,63.7674,46.1502,0.3289,77.1582,1.915
1588751483053,63.8169,45.4296,0.3287,77.0922,1.915
1588751483073,63.883,47.5103,0.3285,77.0427,1.915
1588751483093,63.9821,45.9966,0.3284,77.0261,1.805
1588751483113,64.0151,45.1497,0.3284,77.0096,1.805
1588751483133,64.0811,45.135,0.3284,76.9931,1.805
1588751483153,64.1142,44.3731,0.3284,76.9931,1.805
1588751483173,64.1142,47.3297,0.3284,76.9931,1.904
1588751483193,64.1142,46.666,0.3284,77.0096,1.904
1588751483213,64.1637,45.9308,0.3286,77.0427,1.904
1588751483233,64.1967,46.1116,0.3288,77.0922,1.784
1588751483253,64.1802,45.3084,0.3291,77.1417,1.784
1588751483273,64.2132,44.7199,0.3293,77.2078,1.784
1588751483293,64.2793,45.7587,0.3296,77.2738,1.784
1588751483313,64.3453,44.182,0.3299,77.3399,1.933
1588751483333,64.3783,45.3037,0.3302,77.4059,1.933
1588751483353,64.4279,45.7195,0.3304,77.4554,1.933
1588751483373,64.4444,45.8898,0.3306,77.505,1.933
1588751483393,64.3453,45.5166,0.3306,77.505,1.73
1588751483413,64.1802,45.7964,0.3304,77.4554,1.73
1588751483433,63.949,45.2772,0.33,77.3564,1.73
1588751483453,63.6353,46.5613,0.3293,77.2078,1.674
1588751483473,63.2556,45.9921,0.3285,77.0096,1.674
1588751483493,62.8923,46.3732,0.3275,76.7785,1.674
1588751483513,62.5456,44.8746,0.3264,76.5308,1.674
1588751483533,62.2484,45.0318,0.3254,76.2831,1.702
1588751483553,62.0667,45.271,0.3244,76.052,1.702
1588751483573,61.9181,45.3032,0.3236,75.8538,1.702
1588751483593,61.753,44.9028,0.3228,75.6887,1.782
1588751483613,61.5549,44.2056,0.3221,75.5236,1.782
1588751483633,61.3898,42.0599,0.3214,75.342,1.782
1588751483653,61.2577,44.4473,0.3206,75.1603,1.792
1588751483673,61.1586,44.0388,0.3198,74.9952,1.792
1588751483693,61.1091,44.463,0.3191,74.8136,1.792
1588751483713,61.0595,45.314,0.3184,74.6485,1.78
1588751483733,61.0265,44.0472,0.3177,74.4999,1.78
1588751483753,61.043,44.4073,0.3171,74.3678,1.78
1588751483773,61.0595,44.4126,0.3167,74.2522,1.78
1588751483793,61.1091,44.3095,0.3164,74.1862,1.731
1588751483813,61.1421,45.7931,0.3162,74.1531,1.731
1588751483833,61.1256,45.3458,0.3161,74.1366,1.731
1588751483853,61.1751,46.0004,0.3161,74.1366,1.767
1588751483873,61.2412,44.6602,0.3163,74.1862,1.767
1588751483893,61.2742,47.1992,0.3166,74.2522,1.767
1588751483913,61.3237,47.0366,0.3169,74.3183,1.767
1588751483933,61.3732,46.9438,0.3172,74.4008,1.871
1588751483953,61.3898,46.7084,0.3175,74.4834,1.871
1588751483973,61.4063,47.6024,0.3178,74.5329,1.871
1588751483993,61.3898,46.3423,0.318,74.5659,1.871
1588751484013,61.3567,46.9924,0.318,74.5824,1.841
1588751484033,61.2907,45.7686,0.318,74.5659,1.841
