ts,ihd03A,ihd05A,ihd07A,ithdA
1588750475432,0.0,0.0,0.0,0.0
1588750475453,0.0,0.0,0.0,0.0
1588750475474,0.0,0.0,0.0,0.0
1588750475495,0.0,0.0,0.0,0.0
1588750475515,0.0,0.0,0.0,0.0
1588750475535,0.0,0.0,0.0,0.0
1588750475555,0.0,0.0,0.0,0.0
1588750475576,0.0,0.0,0.0,0.0
1588750475597,0.0,0.0,0.0,0.0
1588750475619,0.0,0.0,0.0,0.0
1588750475639,0.0,0.0,0.0,0.0
1588750475660,0.0,0.0,0.0,0.0
1588750475729,0.0,0.0,0.0,0.0
1588750475750,0.0,0.0,0.0,0.0
1588750475770,0.0,0.0,0.0,0.0
1588750475790,0.0,0.0,0.0,0.0
1588750475810,0.0,0.0,0.0,0.0
1588750475832,0.0,0.0,0.0,0.0
1588750475852,0.0,0.0,0.0,0.0
1588750475872,0.0,0.0,0.0,0.0
1588750475892,0.0,0.0,0.0,0.0
1588750475912,0.0,0.0,0.0,0.0
1588750475932,0.0,0.0,0.0,0.0
1588750475952,0.0,0.0,0.0,0.0
1588750475972,0.0,0.0,0.0,0.0
1588750475992,0.0,0.0,0.0,0.0
1588750476012,0.0,0.0,0.0,0.0
1588750476032,0.0,0.0,0.0,0.0
1588750476052,0.0,0.0,0.0,0.0
1588750476072,0.0,0.0,0.0,0.0
1588750476093,0.0,0.0,0.0,0.0
1588750476113,0.0,0.0,0.0,0.0
1588750476134,0.0,0.0,0.0,0.0
1588750476154,0.0,0.0,0.0,0.0
1588750476174,0.0,0.0,0.0,0.0
1588750476195,0.0,0.0,0.0,0.0
1588750476215,0.0,0.0,0.0,0.0
1588750476236,0.0,0.0,0.0,0.0
1588750476256,0.0,0.0,0.0,0.0
1588750476276,0.0,0.0,0.0,0.0
1588750476296,0.0,0.0,0.0,0.0
1588750476317,0.0,0.0,0.0,0.0
1588750476338,0.0,0.0,0.0,0.0
1588750476358,0.0,0.0,0.0,0.0
1588750476382,0.0,0.0,0.0,0.0
1588750476402,0.0,0.0,0.0,0.0
1588750476422,0.0,0.0,0.0,0.0
1588750476442,0.0,0.0,0.0,0.0
1588750476463,0.0,0.0,0.0,0.0
1588750476484,0.0,0.0,0.0,0.0
1588750476505,0.0,0.0,0.0,0.0
1588750476525,0.0,0.0,0.0,0.0
1588750476546,0.0,0.0,0.0,0.0
1588750476566,0.0,0.0,0.0,0.0
1588750476587,0.0,0.0,0.0,0.0
1588750476607,0.0,0.0,0.0,0.0
1588750476631,0.0,0.0,0.0,0.0
1588750476652,0.0,0.0,0.0,0.0
1588750476673,0.0,0.0,0.0,0.0
1588750476694,0.0,0.0,0.0,0.0
1588750476714,0.0,0.0,0.0,0.0
1588750476735,0.0,0.0,0.0,0.0
1588750476756,0.0,0.0,0.0,0.0
1588750476780,0.0,0.0,0.0,0.0
1588750476801,0.0,0.0,0.0,0.0
1588750476821,0.0,0.0,0.0,0.0
1588750476842,0.0,0.0,0.0,0.0
1588750476863,0.0,0.0,0.0,0.0
1588750476884,0.0,0.0,0.0,0.0
1588750476905,0.0,0.0,0.0,0.0
1588750476925,0.0,0.0,0.0,0.0
1588750476946,0.0,0.0,0.0,0.0
1588750476967,0.0,0.0,0.0,0.0
1588750476988,0.0,0.0,0.0,0.0
1588750477009,0.0,0.0,0.0,0.0
1588750477031,0.0,0.0,0.0,0.0
1588750477051,0.0,0.0,0.0,0.0
1588750477071,0.0,0.0,0.0,0.0
1588750477091,0.0,0.0,0.0,0.0
1588750477111,0.0,0.0,0.0,0.0
1588750477131,0.0,0.0,0.0,0.0
1588750477152,0.0,0.0,0.0,0.0
1588750477173,0.0,0.0,0.0,0.0
1588750477193,0.0,0.0,0.0,0.0
1588750477213,0.0,0.0,0.0,0.0
1588750477233,0.0,0.0,0.0,0.0
1588750477253,0.0,0.0,0.0,0.0
1588750477274,0.0,0.0,0.0,0.0
1588750477295,0.0,0.0,0.0,0.0
1588750477316,0.0,0.0,0.0,0.0
1588750477336,0.0,0.0,0.0,0.0
1588750477356,0.0,0.0,0.0,0.0
1588750477376,0.0,0.0,0.0,0.0
1588750477397,0.0,0.0,0.0,0.0
1588750477418,0.0,0.0,0.0,0.0
1588750477438,0.0,0.0,0.0,0.0
1588750477459,0.0,0.0,0.0,0.0
1588750477481,0.0,0.0,0.0,0.0
1588750477503,0.0,0.0,0.0,0.0
1588750477524,0.0,0.0,0.0,0.0
1588750477544,0.0,0.0,0.0,0.0
1588750477565,0.0,0.0,0.0,0.0
1588750477586,0.0,0.0,0.0,0.0
1588750477607,0.0,0.0,0.0,0.0
1588750477631,0.0,0.0,0.0,0.0
1588750477651,0.0,0.0,0.0,0.0
1588750477671,0.0,0.0,0.0,0.0
1588750477692,0.0,0.0,0.0,0.0
1588750477713,0.0,0.0,0.0,0.0
1588750477734,0.0,0.0,0.0,0.0
1588750477755,0.0,0.0,0.0,0.0
1588750477775,0.0,0.0,0.0,0.0
1588750477795,0.0,0.0,0.0,0.0
1588750477815,0.0,0.0,0.0,0.0
1588750477837,0.0,0.0,0.0,0.0
1588750477857,0.0,0.0,0.0,0.0
1588750477881,0.0,0.0,0.0,0.0
1588750477902,0.0,0.0,0.0,0.0
1588750477923,0.0,0.0,0.0,0.0
1588750477944,0.0,0.0,0.0,0.0
1588750477964,0.0,0.0,0.0,0.0
1588750477984,0.0,0.0,0.0,0.0
1588750478004,0.0,0.0,0.0,0.0
1588750478025,0.0,0.0,0.0,0.0
1588750478046,0.0,0.0,0.0,0.0
1588750478070,0.0,0.0,0.0,0.0
1588750478090,0.0,0.0,0.0,0.0
1588750478110,0.0,0.0,0.0,0.0
1588750478131,0.0,0.0,0.0,0.0
1588750478152,0.0,0.0,0.0,0.0
1588750478173,0.0,0.0,0.0,0.0
1588750478194,0.0,0.0,0.0,0.0
1588750478215,0.0,0.0,0.0,0.0
1588750478236,0.0,0.0,0.0,0.0
1588750478258,0.0,0.0,0.0,0.0
1588750478281,0.0,0.0,0.0,0.0
1588750478301,0.0,0.0,0.0,0.0
1588750478321,0.0,0.0,0.0,0.0
1588750478342,0.0,0.0,0.0,0.0
1588750478363,0.0,0.0,0.0,0.0
1588750478384,0.0,0.0,0.0,0.0
1588750478404,0.0,0.0,0.0,0.0
1588750478424,0.0,0.0,0.0,0.0
1588750478444,0.0,0.0,0.0,0.0
1588750478464,0.0,0.0,0.0,0.0
1588750478489,0.0,0.0,0.0,0.0
1588750478510,0.0,0.0,0.0,0.0
1588750478530,0.0,0.0,0.0,0.0
1588750478550,0.0,0.0,0.0,0.0
1588750478570,0.0,0.0,0.0,0.0
1588750478591,0.0,0.0,0.0,0.0
1588750478612,0.0,0.0,0.0,0.0
1588750478633,0.0,0.0,0.0,0.0
1588750478654,0.0,0.0,0.0,0.0
1588750478674,0.0,0.0,0.0,0.0
1588750478695,0.0,0.0,0.0,0.0
1588750478715,0.0,0.0,0.0,0.0
1588750478735,0.0,0.0,0.0,0.0
1588750478755,0.0,0.0,0.0,0.0
1588750478775,0.0,0.0,0.0,0.0
1588750478796,0.0,0.0,0.0,0.0
1588750478820,0.0,0.0,0.0,0.0
1588750478840,0.0,0.0,0.0,0.0
1588750478860,0.0,0.0,0.0,0.0
1588750478880,0.0,0.0,0.0,0.0
1588750478900,0.0,0.0,0.0,0.0
1588750478920,0.0,0.0,0.0,0.0
1588750478940,0.0,0.0,0.0,0.0
1588750478960,0.0,0.0,0.0,0.0
1588750478981,0.0,0.0,0.0,0.0
1588750479002,0.0,0.0,0.0,0.0
1588750479023,0.0,0.0,0.0,0.0
1588750479043,0.0,0.0,0.0,0.0
1588750479064,0.0,0.0,0.0,0.0
1588750479085,0.0,0.0,0.0,0.0
1588750479109,0.0,0.0,0.0,0.0
1588750479130,0.0,0.0,0.0,0.0
1588750479151,0.0,0.0,0.0,0.0
1588750479172,0.0,0.0,0.0,0.0
1588750479193,0.0,0.0,0.0,0.0
1588750479214,0.0,0.0,0.0,0.0
1588750479235,0.0,0.0,0.0,0.0
1588750479256,0.0,0.0,0.0,0.0
1588750479280,0.0,0.0,0.0,0.0
1588750479301,0.0,0.0,0.0,0.0
1588750479321,0.0,0.0,0.0,0.0
1588750479341,0.0,0.0,0.0,0.0
1588750479361,0.0,0.0,0.0,0.0
1588750479382,0.0,0.0,0.0,0.0
1588750479403,0.0,0.0,0.0,0.0
1588750479423,0.0,0.0,0.0,0.0
1588750479443,0.0,0.0,0.0,0.0
1588750479464,0.0,0.0,0.0,0.0
1588750479485,0.0,0.0,0.0,0.0
1588750479506,0.0,0.0,0.0,0.0
1588750479530,0.0,0.0,0.0,0.0
1588750479551,0.0,0.0,0.0,0.0
1588750479571,0.0,0.0,0.0,0.0
1588750479591,0.0,0.0,0.0,0.0
1588750479611,0.0,0.0,0.0,0.0
1588750479631,0.0,0.0,0.0,0.0
1588750479651,0.0,0.0,0.0,0.0
1588750479671,0.0,0.0,0.0,0.0
1588750479691,0.0,0.0,0.0,0.0
1588750479711,0.0,0.0,0.0,0.0
1588750479731,0.0,0.0,0.0,0.0
1588750479752,0.0,0.0,0.0,0.0
1588750479772,0.0,0.0,0.0,0.0
1588750479792,0.0,0.0,0.0,0.0
1588750479812,0.0,0.0,0.0,0.0
1588750479833,0.0,0.0,0.0,0.0
1588750479854,0.0,0.0,0.0,0.0
1588750479875,0.0,0.0,0.0,0.0
1588750479896,0.0,0.0,0.0,0.0
1588750479920,0.0,0.0,0.0,0.0
1588750479940,0.0,0.0,0.0,0.0
1588750479960,0.0,0.0,0.0,0.0
1588750479980,0.0,0.0,0.0,0.0
1588750480001,0.0,0.0,0.0,0.0
1588750480022,0.0,0.0,0.0,0.0
1588750480043,0.0,0.0,0.0,0.0
1588750480063,0.0,0.0,0.0,0.0
1588750480083,0.0,0.0,0.0,0.0
1588750480103,0.0,0.0,0.0,0.0
1588750480124,0.0,0.0,0.0,0.0
1588750480145,0.0,0.0,0.0,0.0
1588750480167,0.0,0.0,0.0,0.0
1588750480187,0.0,0.0,0.0,0.0
1588750480209,0.0,0.0,0.0,0.0
1588750480230,0.0,0.0,0.0,0.0
1588750480252,0.0,0.0,0.0,0.0
1588750480272,0.0,0.0,0.0,0.0
1588750480293,0.0,0.0,0.0,0.0
1588750480314,0.0,0.0,0.0,0.0
1588750480335,0.0,0.0,0.0,0.0
1588750480356,0.0,0.0,0.0,0.0
1588750480380,0.0,0.0,0.0,0.0
1588750480400,0.0,0.0,0.0,0.0
1588750480420,0.0,0.0,0.0,0.0
1588750480441,0.0,0.0,0.0,0.0
1588750480461,0.0,0.0,0.0,0.0
1588750480482,0.0,0.0,0.0,0.0
1588750480502,0.0,0.0,0.0,0.0
1588750480522,0.0,0.0,0.0,0.0
1588750480542,0.0,0.0,0.0,0.0
1588750480562,0.0,0.0,0.0,0.0
1588750480582,0.0,0.0,0.0,0.0
1588750480602,0.0,0.0,0.0,0.0
1588750480622,0.0,0.0,0.0,0.0
1588750480647,0.0,0.0,0.0,0.0
1588750480667,0.0,0.0,0.0,0.0
1588750480688,0.0,0.0,0.0,0.0
1588750480708,0.0,0.0,0.0,0.0
1588750480733,0.0,0.0,0.0,0.0
1588750480754,0.0,0.0,0.0,0.0
1588750480774,0.0,0.0,0.0,0.0
1588750480794,0.0,0.0,0.0,0.0
1588750480814,0.0,0.0,0.0,0.0
1588750480835,0.0,0.0,0.0,0.0
1588750480855,0.0,0.0,0.0,0.0
1588750480879,0.0,0.0,0.0,0.0
1588750480900,0.0,0.0,0.0,0.0
1588750480921,0.0,0.0,0.0,0.0
1588750480942,0.0,0.0,0.0,0.0
1588750480962,0.0,0.0,0.0,0.0
1588750480982,0.0,0.0,0.0,0.0
1588750481002,0.0,0.0,0.0,0.0
1588750481022,0.0,0.0,0.0,0.0
1588750481043,0.0,0.0,0.0,0.0
1588750481064,0.0,0.0,0.0,0.0
1588750481084,0.0,0.0,0.0,0.0
1588750481105,0.0,0.0,0.0,0.0
1588750481129,0.0,0.0,0.0,0.0
1588750481150,0.0,0.0,0.0,0.0
1588750481170,0.0,0.0,0.0,0.0
1588750481191,0.0,0.0,0.0,0.0
1588750481212,0.0,0.0,0.0,0.0
1588750481233,0.0,0.0,0.0,0.0
1588750481254,0.0,0.0,0.0,0.0
1588750481274,0.0,0.0,0.0,0.0
1588750481299,0.0,0.0,0.0,0.0
1588750481320,0.0,0.0,0.0,0.0
1588750481341,0.0,0.0,0.0,0.0
1588750481361,0.0,0.0,0.0,0.0
1588750481382,0.0,0.0,0.0,0.0
1588750481403,0.0,0.0,0.0,0.0
1588750481423,0.0,0.0,0.0,0.0
1588750481444,0.0,0.0,0.0,0.0
1588750481464,0.0,0.0,0.0,0.0
1588750481485,0.0,0.0,0.0,0.0
1588750481505,0.0,0.0,0.0,0.0
1588750481527,0.0,0.0,0.0,0.0
1588750481548,0.0,0.0,0.0,0.0
1588750481570,0.0,0.0,0.0,0.0
1588750481590,0.0,0.0,0.0,0.0
1588750481610,0.0,0.0,0.0,0.0
1588750481630,0.0,0.0,0.0,0.0
1588750481650,0.0,0.0,0.0,0.0
1588750481671,0.0,0.0,0.0,0.0
1588750481692,0.0,0.0,0.0,0.0
1588750481712,0.0,0.0,0.0,0.0
1588750481733,0.0,0.0,0.0,0.0
1588750481754,0.0,0.0,0.0,0.0
1588750481774,0.0,0.0,0.0,0.0
1588750481795,0.0,0.0,0.0,0.0
1588750481815,0.0,0.0,0.0,0.0
1588750481840,0.0,0.0,0.0,0.0
1588750481860,0.0,0.0,0.0,0.0
1588750481880,0.0,0.0,0.0,0.0
1588750481900,0.0,0.0,0.0,0.0
