ts,pwrA,rpwrA,curA,apwrA,screA
1588750242197,0.3302,4.3219,0.0185,4.3425,2.561
1588750242217,0.3302,-4.2379,0.0185,4.3425,3.159
1588750242237,0.3633,-1.7942,0.0185,4.359,3.159
1588750242257,0.3302,4.2699,0.0186,4.359,2.484
1588750242277,0.3302,0.2094,0.0186,4.3755,2.484
1588750242297,0.3302,0.2098,0.0187,4.3755,2.484
1588750242317,0.2972,4.1855,0.0187,4.3921,2.325
1588750242337,0.2477,-0.7936,0.0187,4.3921,2.615
1588750242357,0.1816,-0.7995,0.0187,4.3921,2.615
1588750242377,0.1651,-0.7958,0.0188,4.4086,2.615
1588750242397,0.1156,-2.1477,0.0188,4.4086,2.615
1588750242417,0.0991,-2.5874,0.0188,4.4086,2.517
1588750242437,0.0826,-2.8635,0.0187,4.3921,2.517
1588750242457,0.1156,-2.7545,0.0187,4.3921,1.886
1588750242477,0.1321,4.161,0.0187,4.3921,1.886
1588750242501,0.1651,4.1599,0.0187,4.3921,2.474
1588750242521,0.2477,3.4959,0.0187,4.3921,2.474
1588750242541,0.2477,4.229,0.0187,4.3921,2.674
1588750242561,0.2477,2.6616,0.0188,4.4086,2.674
1588750242581,0.2807,4.3682,0.0188,4.4251,2.674
1588750242601,0.2807,2.8598,0.0189,4.4416,2.269
1588750242621,0.2642,4.1645,0.019,4.4581,2.269
1588750242641,0.2312,4.1564,0.019,4.4581,2.139
1588750242661,0.2146,4.292,0.019,4.4581,2.139
1588750242681,0.1981,-3.7976,0.019,4.4581,3.023
1588750242701,0.1816,4.0539,0.0189,4.4416,3.023
1588750242721,0.1981,4.0456,0.0189,4.4416,3.023
1588750242741,0.1816,0.3745,0.0188,4.4251,3.038
1588750242761,0.1816,3.1375,0.0188,4.4086,3.038
1588750242781,0.1651,3.1285,0.0187,4.3921,3.055
1588750242801,0.1321,2.809,0.0187,4.3921,3.055
1588750242821,0.1651,-3.677,0.0187,4.3921,2.761
1588750242841,0.1651,-4.3678,0.0186,4.3755,2.761
1588750242861,0.1816,3.8794,0.0186,4.359,2.761
1588750242881,0.1651,2.8226,0.0185,4.3425,2.262
1588750242901,0.1486,2.2815,0.0185,4.326,2.262
1588750242921,0.1321,1.6368,0.0184,4.326,2.262
1588750242941,0.1321,0.2696,0.0183,4.3095,2.865
1588750242961,0.1651,3.8867,0.0183,4.3095,2.865
1588750242981,0.1981,3.9862,0.0184,4.3095,1.69
1588750243001,0.2312,3.6368,0.0184,4.3095,1.69
1588750243021,0.2477,3.8215,0.0184,4.3095,2.324
1588750243041,0.2807,0.8963,0.0184,4.326,2.324
1588750243061,0.3137,4.3398,0.0185,4.3425,2.324
1588750243081,0.3302,0.6883,0.0186,4.359,2.324
1588750243101,0.2972,4.3388,0.0187,4.3755,1.872
1588750243121,0.2972,2.1921,0.0187,4.3921,1.872
1588750243141,0.2477,4.1976,0.0187,4.3921,1.605
1588750243161,0.1981,4.1936,0.0187,4.3921,1.605
1588750243181,0.1816,3.943,0.0187,4.3755,1.607
1588750243201,0.1486,3.5461,0.0187,4.3755,1.607
1588750243221,0.1321,3.2252,0.0187,4.3921,1.887
1588750243241,0.1321,4.2937,0.0187,4.3921,1.887
1588750243261,0.1156,2.8776,0.0187,4.3755,1.887
1588750243281,0.0991,4.0195,0.0186,4.3755,1.887
1588750243301,0.1156,4.3737,0.0186,4.3755,1.947
1588750243321,0.1816,3.5847,0.0186,4.3755,2.237
1588750243341,0.2146,-0.26,0.0186,4.359,2.237
1588750243363,0.2642,-0.1795,0.0186,4.359,2.237
1588750243383,0.2807,4.1761,0.0186,4.359,2.299
1588750243403,0.2807,3.3576,0.0185,4.3425,2.299
1588750243423,0.2972,-3.1978,0.0185,4.326,1.769
1588750243443,0.2972,2.8541,0.0184,4.326,2.96
1588750243464,0.3137,2.0868,0.0184,4.3095,2.96
1588750243484,0.3302,3.0286,0.0183,4.3095,3.726
1588750243504,0.3302,4.093,0.0183,4.3095,3.726
1588750243524,0.3302,4.0889,0.0183,4.293,3.726
1588750243544,0.2972,4.3018,0.0183,4.3095,1.875
1588750243564,0.2972,1.5568,0.0184,4.326,1.875
1588750243584,0.3137,3.645,0.0185,4.359,2.417
1588750243604,0.3137,4.3813,0.0187,4.3921,2.417
1588750243624,0.2972,0.5948,0.0188,4.4086,2.888
1588750243644,0.2146,2.7627,0.0189,4.4581,2.888
1588750243664,0.1486,0.4659,0.019,4.4746,2.888
1588750243684,0.1321,2.3425,0.0191,4.4746,2.888
1588750243704,0.0991,0.7936,0.0191,4.4746,1.983
1588750243724,0.0826,3.9631,0.0191,4.4746,1.983
1588750243744,0.0826,-0.4491,0.019,4.4746,2.843
1588750243764,0.066,2.7822,0.019,4.4746,2.843
1588750243785,0.0826,4.1863,0.019,4.4581,2.843
1588750243805,0.1321,4.1861,0.019,4.4581,2.482
1588750243825,0.1321,3.5506,0.019,4.4581,2.482
1588750243845,0.0991,3.9645,0.019,4.4581,2.075
1588750243865,0.0826,3.9648,0.019,4.4581,2.075
1588750243885,0.066,4.4626,0.019,4.4581,2.842
1588750243905,0.066,3.438,0.019,4.4581,2.842
1588750243925,0.0991,3.6581,0.0189,4.4416,2.842
1588750243945,0.1651,3.0558,0.0189,4.4251,2.343
1588750243965,0.1816,3.7366,0.0188,4.4086,2.343
1588750243985,0.1651,2.4699,0.0188,4.3921,2.35
1588750244005,0.1486,4.356,0.0187,4.3921,2.35
1588750244025,0.1321,1.5492,0.0187,4.3921,1.916
1588750244045,0.1321,3.399,0.0187,4.3921,1.916
1588750244065,0.1651,2.8664,0.0187,4.3921,1.841
1588750244085,0.1981,4.0633,0.0188,4.4086,1.841
1588750244105,0.2146,2.7663,0.0188,4.4086,1.841
1588750244125,0.1981,-3.7852,0.0188,4.4086,1.841
1588750244145,0.2146,2.5035,0.0188,4.4086,3.058
1588750244165,0.2642,3.7738,0.0188,4.4086,3.058
1588750244185,0.2972,4.3248,0.0188,4.4251,2.192
1588750244205,0.2807,2.7259,0.0189,4.4251,2.192
1588750244225,0.2972,2.4618,0.0189,4.4416,2.192
1588750244245,0.3137,2.1875,0.0189,4.4416,2.566
1588750244265,0.3302,3.5451,0.0189,4.4416,2.566
