ts,ihd03A,ihd05A,ihd07A,ithdA
1588750874758,91.18,78.26,62.7,168.48
1588750874779,91.1,78.01,62.53,167.79
1588750874800,91.09,77.73,62.37,167.37
1588750874820,91.0,77.64,62.23,166.99
1588750874840,91.01,77.62,62.2,166.48
1588750874860,91.0,77.6,62.11,166.18
1588750874882,90.94,77.6,62.04,166.06
1588750874902,90.99,77.67,62.08,166.26
1588750874922,91.08,77.83,62.09,166.79
1588750874942,91.28,77.97,62.17,167.35
1588750874962,91.34,78.04,62.19,167.55
1588750874982,91.56,78.2,62.22,167.79
1588750875002,91.82,78.33,62.22,168.25
1588750875023,91.93,78.44,62.27,168.47
1588750875044,92.11,78.61,62.35,168.68
1588750875065,92.28,78.73,62.5,168.96
1588750875086,92.28,78.87,62.77,169.37
1588750875110,92.31,79.03,63.05,169.84
1588750875130,92.31,79.23,63.27,170.39
1588750875150,92.35,79.29,63.49,170.92
1588750875171,92.25,79.33,63.58,171.22
1588750875192,92.08,79.3,63.73,171.31
1588750875213,91.74,79.36,63.87,171.33
1588750875233,91.5,79.37,63.97,171.24
1588750875254,91.42,79.49,64.06,171.21
1588750875274,91.43,79.56,64.04,171.15
1588750875298,91.55,79.61,64.08,171.08
1588750875319,91.66,79.44,63.96,170.58
1588750875339,91.73,79.39,63.85,170.15
1588750875359,91.82,79.34,63.74,169.91
1588750875380,91.95,79.33,63.65,169.95
1588750875400,92.01,79.25,63.45,169.86
1588750875420,91.91,79.21,63.03,169.43
1588750875441,91.68,79.17,62.66,169.13
1588750875462,91.38,79.15,62.31,168.43
1588750875482,91.31,79.12,62.2,167.97
1588750875502,91.13,79.14,62.09,167.53
1588750875522,91.14,79.12,62.04,167.6
1588750875542,91.09,79.1,62.16,167.62
1588750875562,91.11,79.01,62.24,167.62
1588750875582,91.12,79.02,62.34,167.64
1588750875602,91.2,78.95,62.76,167.72
1588750875623,91.19,78.97,63.1,168.02
1588750875643,91.22,79.1,63.39,168.52
1588750875663,91.26,79.11,63.58,168.86
1588750875683,91.27,79.23,63.77,169.34
1588750875704,91.37,79.31,63.84,169.89
1588750875728,91.42,79.31,63.73,170.01
1588750875749,91.46,79.26,63.51,169.71
