ts,pwrA,rpwrA,curA,apwrA,screA
1588751080387,11.7067,-6.2344,0.112,26.4349,4.494
1588751080452,11.6571,-6.2244,0.1119,26.4019,4.494
1588751080473,11.426,-7.649,0.1104,26.0386,4.494
1588751080493,11.4425,2.4143,0.1099,25.9396,4.494
1588751080513,11.4755,-12.3255,0.1094,25.824,4.558
1588751080533,11.5085,-8.039,0.109,25.7249,4.558
1588751080553,11.5911,-12.331,0.1089,25.7084,4.589
1588751080573,11.6571,-4.7051,0.109,25.7084,4.589
1588751080593,11.6901,2.1753,0.109,25.7414,4.589
1588751080613,11.7067,-9.9382,0.1091,25.7579,4.846
1588751080633,11.8222,-5.9226,0.1092,25.7745,4.846
1588751080653,12.8129,-3.012,0.1109,26.2203,4.846
1588751080673,14.3155,2.0145,0.1161,27.4751,4.846
1588751080693,15.9666,2.52,0.1245,29.4895,9.109
1588751080713,17.5187,-5.5128,0.1348,31.9332,9.109
1588751080733,18.9717,-6.7516,0.1458,34.5255,9.109
1588751080753,20.3752,3.6723,0.1569,37.1344,8.238
1588751080773,21.6631,-13.514,0.1678,39.7102,8.238
1588751080793,22.7198,-20.6172,0.178,42.1043,6.124
1588751080813,23.9582,-18.2069,0.1911,45.159,6.124
1588751080833,24.6517,12.3143,0.1984,46.8927,6.124
1588751080853,25.0975,9.3531,0.2046,48.3292,5.618
1588751080873,25.2791,7.4078,0.2072,48.9566,5.618
1588751080893,25.6093,-9.928,0.2119,50.0464,5.618
1588751080913,25.89,-8.4825,0.2158,50.9545,5.265
1588751080933,26.1212,24.3846,0.2204,52.0277,5.265
1588751080953,26.3028,-25.1945,0.2226,52.5396,5.123
1588751080973,26.3854,0.9054,0.2235,52.7708,5.123
1588751080993,26.5505,0.9126,0.2253,53.167,5.123
1588751081013,26.6165,-36.8422,0.2272,53.6128,5.008
1588751081033,26.6826,-2.5024,0.2277,53.7284,5.008
1588751081053,26.7321,-4.8317,0.2291,54.0587,5.008
1588751081073,26.7982,0.3326,0.2299,54.2403,4.946
1588751081093,26.7982,7.0442,0.2303,54.3393,4.946
1588751081113,26.8807,10.6949,0.231,54.521,4.923
1588751081133,26.9303,-13.9062,0.2314,54.6035,4.923
1588751081153,26.8972,-2.6122,0.2315,54.6366,4.923
1588751081173,26.7817,35.9978,0.2315,54.62,4.67
1588751081193,26.7156,9.389,0.2312,54.554,4.67
1588751081213,26.7321,9.054,0.2312,54.5375,4.67
1588751081233,26.6826,-10.8241,0.231,54.5045,5.043
1588751081253,26.633,7.5877,0.2308,54.4549,5.043
1588751081273,26.6165,-9.8091,0.2303,54.3393,5.053
1588751081293,26.6496,0.333,0.2301,54.3063,5.053
1588751081313,26.7651,0.3329,0.2301,54.2898,5.053
1588751081333,26.7651,-26.7538,0.2302,54.3228,4.444
1588751081353,26.8477,-7.0476,0.2304,54.3724,4.444
1588751081373,26.8477,-13.015,0.2306,54.4054,4.776
1588751081393,26.8972,-0.267,0.2306,54.4219,4.776
1588751081413,26.9303,-11.7884,0.2307,54.4384,4.772
1588751081433,26.9468,4.6676,0.2307,54.4549,4.772
