ts,pwrA,rpwrA,curA,apwrA,screA
1588752272533,23.9912,-6.034,0.178,41.8897,3.356
1588752272553,24.0573,3.6409,0.1781,41.9062,3.356
1588752272573,24.1068,-10.5241,0.1782,41.9392,3.266
1588752272593,24.2059,-12.2193,0.1785,42.0053,3.266
1588752272613,24.3545,-11.5617,0.179,42.1043,3.266
1588752272633,24.5361,-6.8578,0.1797,42.2859,3.266
1588752272653,24.7342,-6.1222,0.1806,42.5171,3.336
1588752272673,24.9324,-11.5329,0.1817,42.7648,3.336
1588752272693,25.1635,0.3689,0.1828,43.029,3.336
1588752272713,25.3452,0.5303,0.184,43.2932,3.41
1588752272733,25.4772,-15.7929,0.1851,43.5408,3.41
1588752272753,25.5763,-15.822,0.186,43.772,3.41
1588752272773,25.3121,-17.7673,0.1867,43.9206,3.24
1588752272793,24.2884,-8.9548,0.1863,43.7885,3.24
1588752272813,22.7033,-15.7045,0.1841,43.2601,3.24
1588752272833,20.854,-25.9809,0.1801,42.3025,1.58
1588752272853,19.0047,-14.4209,0.1746,40.9815,1.58
1588752272873,17.271,-23.0499,0.1679,39.3964,1.58
1588752272893,15.752,-9.0176,0.1604,37.6462,1.819
1588752272913,14.4476,-15.1446,0.1526,35.7969,1.819
1588752272933,13.4073,-9.4647,0.1447,33.9476,1.819
1588752272953,12.5983,-15.6828,0.137,32.1314,1.982
1588752272973,11.9543,-9.1245,0.1297,30.4307,1.982
1588752272993,11.5085,-12.3105,0.123,28.8456,2.152
1588752273014,10.9801,-6.3684,0.1168,27.3926,2.152
1588752273034,10.782,-8.717,0.1113,26.1212,2.152
1588752273054,10.7325,-13.8364,0.1068,25.0314,3.34
1588752273074,10.7325,-10.6336,0.1031,24.1728,3.34
1588752273094,10.782,-5.9499,0.1003,23.5124,3.466
1588752273114,10.8811,-5.999,0.0982,23.017,3.466
1588752273134,10.9967,-7.8875,0.0966,22.6538,3.466
1588752273154,11.1618,-5.1767,0.0957,22.4226,3.466
1588752273174,11.2443,-5.1606,0.0954,22.3566,3.481
1588752273194,11.4755,-0.5731,0.095,22.274,3.481
1588752273214,11.6241,-9.7908,0.0951,22.307,3.481
1588752273234,11.7892,-1.2331,0.0954,22.3731,3.58
1588752273254,11.9873,-4.2747,0.096,22.5052,3.58
1588752273274,12.268,-1.8859,0.0967,22.6703,3.58
1588752273294,12.4332,-6.1957,0.0975,22.8684,3.629
1588752273314,12.5653,-10.7139,0.0984,23.0996,3.629
1588752273334,12.7139,-7.4914,0.0994,23.3142,3.576
1588752273354,12.912,-5.7154,0.1005,23.5784,3.576
1588752273374,13.1432,1.0212,0.1016,23.8261,3.576
1588752273394,13.2918,-6.469,0.1027,24.0903,3.739
1588752273414,13.4073,-9.213,0.1038,24.338,3.739
1588752273434,13.5559,-2.6145,0.1048,24.5856,3.739
1588752273454,13.6715,-8.8061,0.1059,24.8333,3.555
1588752273474,13.8036,1.5963,0.1069,25.081,3.555
1588752273494,13.9522,-2.9412,0.108,25.3286,3.555
1588752273514,14.1008,-9.9777,0.1091,25.5928,3.677
1588752273534,14.299,-12.035,0.1103,25.8735,3.677
1588752273554,14.4971,-6.5047,0.1116,26.1872,3.677
1588752273574,14.6952,-0.8757,0.1129,26.4844,3.376
1588752273594,14.9099,-7.0068,0.1142,26.7982,3.376
1588752273614,15.108,-8.8049,0.1156,27.1284,3.376
1588752273634,15.3227,-10.821,0.117,27.4421,3.62
1588752273654,15.5043,-9.3022,0.1183,27.7558,3.62
1588752273674,15.6859,-4.2104,0.1196,28.053,3.62
1588752273694,15.9006,-0.868,0.1209,28.3502,3.771
1588752273714,16.0987,-9.4356,0.1221,28.6475,3.771
1588752273734,16.4124,-11.7149,0.1235,28.9777,3.771
1588752273754,16.8087,-9.7339,0.1251,29.3574,3.97
1588752273774,17.2545,-4.437,0.1271,29.8198,3.97
1588752273794,17.6838,-6.9966,0.1294,30.3646,3.848
1588752273814,18.0966,-8.0482,0.1319,30.9426,3.848
1588752273834,18.4599,-6.2848,0.1343,31.5205,3.848
1588752273854,18.8066,-15.4404,0.1368,32.0984,3.701
1588752273874,19.1368,-11.4255,0.1392,32.6597,3.701
1588752273894,19.434,-8.0077,0.1415,33.1881,3.701
1588752273914,19.7147,-8.0935,0.1438,33.7165,3.701
1588752273934,19.9624,-10.6293,0.1459,34.2118,3.67
1588752273954,20.2266,-11.3448,0.148,34.7072,3.67
1588752273974,20.4908,-5.8748,0.15,35.186,3.549
1588752273994,20.7219,-9.1486,0.152,35.6483,3.549
1588752274014,20.9366,-14.1894,0.1539,36.0941,3.549
1588752274034,21.2008,5.7868,0.1557,36.5069,3.549
1588752274054,21.4154,-14.0086,0.1574,36.9032,3.447
1588752274074,21.597,-14.491,0.159,37.2665,3.447
1588752274095,21.7456,-1.6577,0.1604,37.6132,3.447
1588752274115,21.8612,-9.1049,0.1617,37.9269,3.34
1588752274135,21.9273,-5.6858,0.1629,38.1911,3.34
1588752274155,21.9933,-10.5402,0.1638,38.4058,3.293
1588752274175,21.9933,-10.5656,0.1642,38.4883,3.293
1588752274195,22.0594,-14.9247,0.1652,38.7195,3.293
1588752274215,22.0924,-14.2605,0.1657,38.835,3.345
1588752274235,22.1584,-8.9772,0.1661,38.9176,3.345
1588752274255,22.2245,-13.4747,0.1664,39.0002,3.345
1588752274275,22.2905,-3.3455,0.1667,39.0662,3.364
1588752274295,22.3401,-8.6056,0.167,39.1323,3.364
1588752274315,22.4061,-13.9933,0.1673,39.1983,3.364
1588752274335,22.4887,1.2505,0.1676,39.2643,3.364
1588752274355,22.5382,-11.4413,0.1678,39.3304,3.457
1588752274375,22.5712,-5.0527,0.1681,39.3964,3.457
1588752274395,22.6208,-6.9719,0.1684,39.4625,3.457
1588752274415,22.6703,-5.9795,0.1687,39.512,3.446
1588752274435,22.7363,-25.7246,0.1689,39.5781,3.446
1588752274455,22.7363,-4.169,0.1692,39.6441,3.437
1588752274475,22.7363,-3.5469,0.1695,39.7102,3.437
1588752274495,22.7363,-7.8374,0.1697,39.7432,3.437
1588752274515,22.7033,-11.854,0.1698,39.7762,3.291
1588752274535,22.6373,-13.1989,0.1699,39.7927,3.291
1588752274555,22.5547,-6.3562,0.1698,39.7762,3.291
1588752274575,22.5052,-3.793,0.1697,39.7432,3.334
1588752274595,22.4722,-3.3532,0.1696,39.7102,3.334
1588752274615,22.4722,4.8013,0.1694,39.6771,3.334
1588752274635,22.4556,2.5254,0.1693,39.6606,3.334
1588752274655,22.4391,-5.47,0.1693,39.6276,3.39
1588752274675,22.3896,0.3882,0.1691,39.6111,3.39
1588752274695,22.3896,0.3396,0.1691,39.5946,3.39
1588752274715,22.4061,-10.7295,0.169,39.5946,3.413
1588752274735,22.4061,-12.2611,0.1691,39.5946,3.413
1588752274755,22.3896,-11.1991,0.1691,39.6111,3.335
