,appl,conflict,dif,dpwr,onoff,state
2020-08-23 19:39:54+03:00,,,,,,
2020-08-23 19:39:55+03:00,,,,,,
2020-08-23 19:39:56+03:00,,,,,,
2020-08-23 19:39:57+03:00,,,,,,
2020-08-23 19:39:58+03:00,,,,,,
2020-08-23 19:39:59+03:00,,,,,,
2020-08-23 19:40:00+03:00,,,,,,
2020-08-23 19:40:01+03:00,,,,,,
2020-08-23 19:40:02+03:00,,,,,,
2020-08-23 19:40:03+03:00,,,,,,
2020-08-23 19:40:04+03:00,,,,,,
2020-08-23 19:40:05+03:00,,,,,,
2020-08-23 19:40:06+03:00,,,,,,
2020-08-23 19:40:07+03:00,,,,,,
2020-08-23 19:40:08+03:00,,,,,,
2020-08-23 19:40:09+03:00,,,,,,
2020-08-23 19:40:10+03:00,,,,,,
2020-08-23 19:40:11+03:00,,,,,,
2020-08-23 19:40:12+03:00,,,,,,
2020-08-23 19:40:13+03:00,,,,,,
2020-08-23 19:40:14+03:00,,,,,,
2020-08-23 19:40:15+03:00,,,,,,
2020-08-23 19:40:16+03:00,,,,,,
2020-08-23 19:40:17+03:00,,,,,,
2020-08-23 19:40:18+03:00,,,,,,
2020-08-23 19:40:19+03:00,,,,,,
2020-08-23 19:40:20+03:00,,,,,,
2020-08-23 19:40:21+03:00,,,,,,
2020-08-23 19:40:22+03:00,,,,,,
2020-08-23 19:40:23+03:00,,,,,,
2020-08-23 19:40:24+03:00,,,,,,
2020-08-23 19:40:25+03:00,,,,,,
2020-08-23 19:40:26+03:00,,,,,,
2020-08-23 19:40:27+03:00,,,,,,
2020-08-23 19:40:28+03:00,,,,,,
2020-08-23 19:40:29+03:00,,,,,,
2020-08-23 19:40:30+03:00,,,,,,
2020-08-23 19:40:31+03:00,,,,,,
2020-08-23 19:40:32+03:00,,,,,,
2020-08-23 19:40:33+03:00,,,,,,
2020-08-23 19:40:34+03:00,,,,,,
2020-08-23 19:40:35+03:00,,,,,,
2020-08-23 19:40:36+03:00,,,,,,
2020-08-23 19:40:37+03:00,,,,,,
2020-08-23 19:40:38+03:00,,,,,,
2020-08-23 19:40:39+03:00,,,,,,
2020-08-23 19:40:40+03:00,,,,,,
2020-08-23 19:40:41+03:00,,,,,,
2020-08-23 19:40:42+03:00,,,,,,
2020-08-23 19:40:43+03:00,,,,,,
2020-08-23 19:40:44+03:00,,,,,,
2020-08-23 19:40:45+03:00,,,,,,
2020-08-23 19:40:46+03:00,,,,,,
2020-08-23 19:40:47+03:00,,,,,,
2020-08-23 19:40:48+03:00,,,,,,
2020-08-23 19:40:49+03:00,,,,,,
2020-08-23 19:40:50+03:00,,,,,,
2020-08-23 19:40:51+03:00,,,,,,
2020-08-23 19:40:52+03:00,,,,,,
2020-08-23 19:40:53+03:00,,,,,,
2020-08-23 19:40:54+03:00,,,,,,
2020-08-23 19:40:55+03:00,,,,,,
2020-08-23 19:40:56+03:00,,,,,,
2020-08-23 19:40:57+03:00,,,,,,
2020-08-23 19:40:58+03:00,,,,,,
2020-08-23 19:40:59+03:00,,,,,,
2020-08-23 19:41:00+03:00,,,,,,
2020-08-23 19:41:01+03:00,,,,,,
2020-08-23 19:41:02+03:00,,,,,,
2020-08-23 19:41:03+03:00,,,,,,
2020-08-23 19:41:04+03:00,,,,,,
2020-08-23 19:41:05+03:00,,,,,,
2020-08-23 19:41:06+03:00,,,,,,
2020-08-23 19:41:07+03:00,,,,,,
2020-08-23 19:41:08+03:00,,,,,,
2020-08-23 19:41:09+03:00,,,,,,
2020-08-23 19:41:10+03:00,,,,,,
2020-08-23 19:41:11+03:00,,,,,,
2020-08-23 19:41:12+03:00,,,,,,
2020-08-23 19:41:13+03:00,,,,,,
2020-08-23 19:41:14+03:00,,,,,,
2020-08-23 19:41:15+03:00,,,,,,
2020-08-23 19:41:16+03:00,,,,,,
2020-08-23 19:41:17+03:00,,,,,,
2020-08-23 19:41:18+03:00,,,,,,
2020-08-23 19:41:19+03:00,,,,,,
2020-08-23 19:41:20+03:00,,,,,,
2020-08-23 19:41:21+03:00,,,,,,
